idx,region,n_matched_days,n_consecutive_differences,daily_corr,difference_corr
-35.375_149.125,oceania,3393,3369,0.8076320989282074,0.6860999357326873
-35.125_145.875,oceania,4145,4067,0.7149752677870093,0.5000355898719251
-35.125_146.125,oceania,4178,4134,0.7209205455117993,0.5372775533438476
-35.125_146.375,oceania,5075,5030,0.6446673656975698,0.43769805607002965
-35.125_147.375,oceania,3751,3710,0.6087246104341906,0.4307403658891988
-35.125_147.625,oceania,2297,2264,0.8129857948100548,0.5269120664883479
-34.875_145.875,oceania,3427,3338,0.6932087520831284,0.5007277403900698
-34.875_146.125,oceania,4895,4866,0.782396744971228,0.6016219485460634
-34.875_146.375,oceania,4102,4071,0.7388632610908316,0.5870788966292338
-34.625_143.625,oceania,3419,3399,0.672712121217877,0.4796308422186906
-34.625_144.875,oceania,3407,3385,0.6528070211456609,0.5503969720865637
-34.625_145.875,oceania,4283,4238,0.7904686176083222,0.5568196153444355
-34.625_146.125,oceania,4837,4807,0.7755782901437074,0.5380203553828345
-34.625_146.375,oceania,3448,3427,0.837228157612602,0.6723213252439705
-34.625_148.125,oceania,3039,3009,0.8079920082845787,0.6262153549180602
-34.125_146.375,oceania,3269,3246,0.745721727976902,0.5079464114267483
-33.875_147.125,oceania,3366,3335,0.8706563873166947,0.7073977554196186
-32.625_150.375,oceania,542,541,0.7933801289244616,0.7630586978548344
-32.375_149.875,oceania,414,412,0.8033947375692588,0.7137280766768567
-32.375_150.375,oceania,683,679,0.8796193471432072,0.6974018215583131
-32.125_150.125,oceania,730,728,0.9087349692069712,0.7626074769917257
-32.125_150.375,oceania,731,730,0.8671387107433454,0.7645042903813103
-31.875_150.125,oceania,512,508,0.8893446833233603,0.6529259410536303
-31.875_150.375,oceania,333,332,0.8723607014153382,0.6345486335038025
39.625_-1.375,europe,668,658,0.8066652628629678,0.5078473336283428
40.875_25.875,europe,661,659,0.8442153995456171,0.595603458664286
41.125_-5.625,europe,6601,6567,0.8254345751965028,0.6454242140458132
41.125_-5.375,europe,7129,7101,0.7304832910714213,0.4887121655975314
41.125_14.875,europe,177,173,0.8781167649182808,0.8283348934430299
41.125_25.375,europe,1172,1168,0.9016290938239315,0.6626077249097424
41.375_-5.625,europe,7106,7078,0.8074635023374428,0.5225762769434701
41.375_-5.375,europe,7158,7136,0.8424346137708203,0.49486037800184474
41.375_-5.125,europe,7167,7147,0.7695335892574399,0.5413052915480328
41.375_25.375,europe,1125,1114,0.7720400142650291,0.5978167135252983
41.625_1.875,europe,183,182,0.7072215729511677,0.3878507566857181
41.875_-0.625,europe,1025,1022,0.5630165212193181,0.40863782891589084
41.875_0.875,europe,1741,1731,0.7154223784120897,0.47918468781860696
41.875_1.625,europe,1236,1230,0.5189409930872685,0.28180509862008435
42.125_0.875,europe,2785,2773,0.7707072831513537,0.49762300910501217
42.125_1.125,europe,2769,2752,0.7517692109073817,0.506671701851727
42.125_2.375,europe,1122,1118,0.6500150074350831,0.44446347270327935
42.375_-0.875,europe,2670,2631,0.5427562738703552,0.6094194370496181
42.375_0.875,europe,1968,1944,0.7440346931833597,0.5312389998404355
42.375_1.125,europe,2779,2739,0.7358708103898511,0.4853024264247712
42.375_1.375,europe,1007,992,0.7744012896142312,0.5211874249333431
42.375_1.875,europe,1152,1135,0.5438362704592966,0.4315570161338319
42.375_2.875,europe,699,698,0.7518871712481041,0.5709106539547959
42.375_3.125,europe,538,537,0.7487001799698579,0.5015491228027412
42.625_1.375,europe,1427,1389,0.554542038869124,0.44478585441372565
42.875_2.625,europe,3276,3253,0.6517058164656446,0.5284729853301345
43.125_1.625,europe,3724,3658,0.8144167349145172,0.6592242845898573
43.125_2.625,europe,5001,4942,0.7029027332099059,0.6417553329635838
43.125_2.875,europe,6440,6407,0.8613023158836957,0.6823386200720073
43.125_12.375,europe,2184,2154,0.8024750543644804,0.5939580939453651
43.375_1.875,europe,6206,6141,0.8714666531632723,0.6774799288852532
43.375_3.375,europe,3347,3329,0.7181988038910022,0.5690307926327697
43.625_-0.375,europe,4572,4431,0.7806475599819752,0.6830312288463464
43.625_0.125,europe,5958,5882,0.7209708725058368,0.5726640766932428
43.625_0.875,europe,5370,5279,0.8256116226609309,0.6224903021088217
43.875_-0.125,europe,6274,6201,0.8078743949302332,0.609995388012573
43.875_0.375,europe,4218,4149,0.8184067010774053,0.5370208848388747
43.875_1.125,europe,4211,4134,0.8457343239005917,0.5905778452339123
43.875_4.125,europe,4443,4393,0.8448612992295363,0.6480172395708792
43.875_5.125,europe,5732,5680,0.8179278494600701,0.7392602727802352
43.875_25.375,europe,1998,1953,0.6190561536518939,0.6328812733924284
44.125_-0.875,europe,5221,5162,0.7328906008950445,0.6691010117468053
44.125_4.125,europe,5703,5664,0.8438011085802877,0.7399420419415005
44.125_4.375,europe,3070,3033,0.7508824398430719,0.7893035398652528
44.125_24.875,europe,2894,2830,0.6375118117666141,0.5242722343316327
44.125_27.375,europe,3485,3425,0.41882407555214207,0.5340313190972151
44.125_27.875,europe,377,370,0.619282992550843,0.4308197386484873
44.375_-0.875,europe,4042,4020,0.814633183157979,0.6190063638904032
44.375_-0.625,europe,2957,2910,0.6628258766923196,0.5863156637158972
44.375_23.125,europe,2658,2592,0.8620580895483948,0.663201215877007
44.375_24.375,europe,2949,2889,0.7379801681574418,0.5191468563741389
44.625_4.125,europe,5254,5162,0.787480891713281,0.6400337755716627
44.625_4.625,europe,2230,2192,0.8600190410038189,0.7383406726051396
44.625_8.625,europe,2906,2878,0.7231879353467155,0.5220721745115695
44.625_11.625,europe,2493,2380,0.8775137437231546,0.6101007677923553
44.625_27.375,europe,968,950,0.33042524005072865,0.551948788361928
44.625_28.375,europe,1331,1300,0.39656929645522065,0.48249213168796506
44.875_-0.625,europe,3885,3859,0.8545170933335317,0.5709893278919891
45.125_7.125,europe,1128,1110,0.6974980526266907,0.4950643012854936
45.375_21.125,europe,2694,2645,0.5012845497159707,0.5038638756213424
45.625_7.125,europe,967,941,0.8086580584317208,0.599510671517582
45.875_27.375,europe,2689,2628,0.46263850403328616,0.48458564781992614
46.125_20.625,europe,1631,1583,0.44717143329044784,0.3888682822566389
46.125_24.625,europe,1851,1798,0.5432380752550059,0.536795296149826
46.125_27.625,europe,2987,2909,0.6050854300905653,0.5322552336708672
46.625_21.625,europe,1512,1488,0.2418131320654355,0.44924203122409134
47.125_21.875,europe,2709,2641,0.6715285385460282,0.5251148583443814
47.125_23.875,europe,1365,1324,0.6608797927508014,0.4244309443977208
47.125_27.625,europe,2956,2898,0.670405653503459,0.5268741608148393
47.375_8.875,europe,2451,2395,0.6628378580795654,0.4077484223840881
47.375_26.875,europe,2690,2620,0.548707957914232,0.20680716206361116
47.625_22.875,europe,2978,2915,0.5204634498041929,0.581428061506203
47.875_10.125,europe,165,147,0.6290079428118945,0.6754018447821283
47.875_11.125,europe,574,565,0.726717488229536,0.7657498862216797
47.875_11.625,europe,205,204,0.8213308854624237,0.7562892246003149
47.875_12.125,europe,611,601,0.5652161757461149,0.6566515735236514
47.875_12.625,europe,242,237,0.35362932081084386,0.6591680892735929
47.875_20.625,europe,580,568,0.1740688784326444,0.3215130879155035
48.125_15.125,europe,2616,2571,0.5678605074110865,0.47038422369933497
48.125_15.875,europe,719,709,0.6088203154233239,0.41639427011199337
48.125_20.875,europe,597,585,0.7176425806687214,0.22824841359154122
48.125_26.625,europe,2554,2486,0.5116892973860329,0.45929025656290795
48.375_11.625,europe,337,332,0.5910222594993468,0.7556185716223398
48.375_12.375,europe,872,827,0.7374960364802077,0.6835664822715952
48.375_12.625,europe,781,722,0.6400466722496329,0.5118618535303626
48.375_12.875,europe,939,924,0.6803811154254445,0.6271254451770283
48.375_15.125,europe,616,602,0.7548741138775619,0.6403308382313615
48.375_20.875,europe,216,209,0.8974488945442497,0.4609601709289077
48.375_21.125,europe,434,426,0.6464504959693986,0.47501584912258954
48.625_9.875,europe,210,201,0.7109262662993586,0.5928892031963447
48.625_12.625,europe,916,888,0.748404303158442,0.6756370553278047
48.625_12.875,europe,1110,1091,0.7740856681593348,0.730997312385477
48.875_8.375,europe,348,346,0.7279921477861679,0.6489030554503394
49.375_7.125,europe,345,340,0.8370347814424494,0.7265107950237316
49.875_10.875,europe,345,341,0.8072010284778618,0.7536082482838076
50.125_-5.125,europe,1714,1609,0.7365552414410607,0.4832652406418042
50.125_11.875,europe,330,324,0.8676762009784892,0.6718865451191187
50.625_6.375,europe,4335,4219,0.8158593760442943,0.6310295107572381
50.625_7.875,europe,345,341,0.843776932424372,0.817159217585456
50.625_13.875,europe,323,317,0.8671754062470138,0.7544058019787222
50.875_-3.875,europe,1310,1276,0.6042174364827827,0.5424024319809354
50.875_-2.625,europe,1123,1094,0.8076734589746378,0.6933291966357912
50.875_0.125,europe,2679,2665,0.8472049931609302,0.5932308681909266
50.875_6.375,europe,4671,4627,0.7077147644313073,0.5243392227056972
51.125_-2.125,europe,1851,1835,0.8903848215550642,0.7258806174251843
51.125_-1.625,europe,2734,2721,0.6787038401389898,0.6435058315438439
51.125_-0.875,europe,2800,2782,0.5447452168887187,0.548881718778545
51.125_0.375,europe,1720,1698,0.7587496458238442,0.5563047205952465
51.125_6.125,europe,3795,3737,0.7629950189196819,0.45365913580874867
51.375_-0.625,europe,1163,1134,0.44346354281820455,0.5854321480901676
51.375_0.375,europe,2413,2393,0.6801080157730162,0.5100816562816248
51.375_14.375,europe,347,344,0.9496967383266474,0.7105660328606266
51.375_23.125,europe,1360,1341,0.43093863111818737,0.2829168038100338
51.375_23.375,europe,863,842,0.7404852885292283,0.6471314571386766
51.625_-1.375,europe,1031,1023,0.832141709670014,0.5925966024563696
51.625_0.375,europe,1976,1968,0.8066864766252118,0.5229758967090408
51.625_9.875,europe,350,348,0.852658165871198,0.6600700493583856
51.625_11.125,europe,346,341,0.9305462393501283,0.6428633289678211
51.875_-4.625,europe,2225,2196,0.8113802446526214,0.608879592779394
51.875_-1.375,europe,994,981,0.6285981523142422,0.6488974581132602
51.875_-0.875,europe,1023,1014,0.7530375441316157,0.47128229115239023
51.875_-0.375,europe,2983,2946,0.7145882892488489,0.45120554224304427
51.875_4.875,europe,598,588,0.8041382022904769,0.678796050785836
51.875_6.125,europe,530,526,0.7424660688472312,0.566730303201234
51.875_22.625,europe,841,821,0.7506289277496097,0.5909427166861959
52.125_-2.625,europe,1681,1668,0.8932527449348122,0.7283821077572956
52.125_-1.625,europe,1468,1454,0.7166813977854918,0.5319364470295367
52.125_-0.375,europe,2661,2638,0.7339692944972999,0.5033849834459413
52.125_-0.125,europe,1153,1144,0.7637871343622038,0.560597924587326
52.125_0.875,europe,1938,1903,0.6991248996200744,0.549856134314506
52.125_6.375,europe,2341,2320,0.7871316748948303,0.5609634799172385
52.125_6.625,europe,4024,3982,0.6272588565341517,0.43963335825077826
52.125_6.875,europe,2475,2452,0.7880968433988418,0.6517628063529322
52.125_13.875,europe,4165,4081,0.7055084176887888,0.4785446231399228
52.125_14.125,europe,5394,5284,0.8816379937574838,0.623018670916768
52.375_-4.125,europe,735,725,0.5851299678050341,0.4411070090990521
52.375_-3.875,europe,1530,1441,0.1469830437737372,0.5726721358967112
52.375_0.375,europe,1301,1295,0.7091450924546429,0.5240827064305777
52.375_0.875,europe,2409,2397,0.8467534848855469,0.6232156018192847
52.375_6.375,europe,1950,1923,0.8125305569155773,0.36604570195439196
52.375_6.625,europe,2898,2857,0.8757949317182921,0.6187089342745312
52.375_6.875,europe,3469,3424,0.6452002725138655,0.4432300465399142
52.375_13.125,europe,716,708,0.914874557946676,0.7433216548084739
52.375_13.375,europe,1803,1780,0.7678918337675789,0.6145109639248483
52.375_13.625,europe,1520,1500,0.7853107434214016,0.4892797931934633
52.625_-2.875,europe,170,167,-0.02808031296509569,0.3034528595828615
52.625_-1.125,europe,2603,2576,0.809962638119858,0.5763130387809415
52.625_-0.875,europe,2104,2083,0.6226064201650482,0.5183522259467338
52.625_0.625,europe,1989,1970,0.864269088691777,0.6631521551648158
52.625_1.125,europe,2878,2850,0.8044020230241594,0.5816220379064024
52.625_13.125,europe,1410,1392,0.8921016500075101,0.6970111675130081
52.625_13.375,europe,1412,1394,0.7325607435340112,0.5336659597150398
52.625_13.625,europe,735,726,0.9217443780622053,0.6440987784364839
52.875_-8.125,europe,296,294,0.10943293403474745,0.09641465877094256
52.875_-1.125,europe,2850,2834,0.7242163024478246,0.5196114670136486
52.875_9.875,europe,353,349,0.9000041425113221,0.7869077623591695
52.875_12.375,europe,352,349,0.9301419540246424,0.7026741477654769
53.125_-4.125,europe,2200,2181,0.6511212911232552,0.5972386922751444
53.125_-2.625,europe,2836,2817,0.6968444210352109,0.5315349558994464
53.125_7.875,europe,356,353,0.8180306982983848,0.6259884926233681
53.375_-1.875,europe,413,410,0.40453093328697315,0.470715827228405
53.375_-0.625,europe,2235,2206,0.7437202268926179,0.5379987118298446
53.625_22.875,europe,819,797,0.38664956375140996,0.183439211245981
53.875_-1.375,europe,2096,2058,0.7735463968390134,0.6561462050813105
54.125_-2.375,europe,1377,1279,0.3630811732852669,0.43146253541089136
54.125_-0.875,europe,2777,2730,0.5967078839759203,0.3872325280967967
54.125_9.125,europe,326,321,0.8221948241806928,0.6535891765954118
54.125_11.125,europe,245,236,0.7309995559539217,0.6457423817166463
54.375_-7.375,europe,1511,1471,0.7545577767616531,0.6779249647603034
54.375_-6.125,europe,1060,1010,0.6240311483236829,0.574341879462366
54.375_13.375,europe,352,348,0.9166820362493598,0.7455786592178393
54.625_-2.375,europe,1334,1198,0.7896157362253449,0.5141844597160099
54.875_-6.125,europe,1812,1750,0.5818448444676236,0.5343844813526494
55.125_-3.625,europe,2693,2650,0.8248921773633229,0.6856476141378435
55.125_-1.625,europe,2278,2246,0.6202724381597379,0.6099371651489389
55.375_-2.125,europe,1070,1028,0.28046501746336777,0.4571382017750799
55.875_-4.375,europe,1150,1139,0.6441183407971774,0.58633749308663
55.875_-3.875,europe,2940,2877,0.7740409234762688,0.5111914333762027
55.875_-3.125,europe,536,527,0.049345723827920074,0.05627949082766405
55.875_8.875,europe,2945,2904,0.4499805075389997,0.32599271402616886
55.875_9.125,europe,3028,2985,0.7058599900284951,0.3604636191301318
55.875_9.375,europe,2930,2888,0.7497513939312427,0.6563240814120873
56.125_9.125,europe,3090,3046,0.5977323798814458,0.4628433894577523
56.125_9.375,europe,2271,2231,0.6731970770156479,0.4712445579820464
56.375_-3.875,europe,264,257,0.8562082353381152,0.7473030654004188
56.375_-3.125,europe,3017,2991,0.7703898374101233,0.6450577491005491
56.375_32.875,europe,1131,1081,0.10113974354261314,0.33117079590658965
56.875_-2.625,europe,2443,2369,0.4301097055754178,0.381354740647755
61.625_21.875,europe,773,707,0.6864905770467649,0.5592293344195646
62.875_30.875,europe,849,823,0.7291463233340839,0.508594662899665
64.125_25.375,europe,987,951,0.6676540429986242,0.4729937026597033
64.875_28.625,europe,1092,1049,0.7494483303347549,0.5445504582435274
66.375_14.875,europe,283,277,0.3806456444976102,0.6139752689972747
66.375_29.375,europe,1137,1085,0.519526029105389,0.4416418263807118
67.125_26.625,europe,1361,1337,0.3746071069987147,0.5803605675778774
67.375_26.625,europe,2017,1986,0.6899641150609397,0.5886356193321478
68.375_27.625,europe,1766,1731,0.4584208916123668,0.4765383300151195
69.625_28.875,europe,301,288,0.7455387050265619,0.4537431139583656
-40.875_-73.125,south_america,1860,1852,0.9379834548980007,0.7572405938367432
-27.375_-70.625,south_america,1649,1627,0.16835762148839464,0.12468432169843961
-27.375_-70.375,south_america,1658,1649,0.10157380406028549,0.023266528325276467
-16.875_-42.375,south_america,786,781,0.6055768621043904,0.09674941974718583
-16.625_-42.875,south_america,1370,1349,0.8636141268019414,0.5404856228563963
-16.625_-41.875,south_america,1326,1310,0.7553006491858442,0.2782624224226752
-16.625_-41.625,south_america,817,812,0.62551478726666,0.0025274975622438145
-16.625_-41.125,south_america,530,522,0.8037322466767974,0.5706101379110972
-16.625_-40.875,south_america,783,776,0.7402863255583702,0.44008506793487456
-16.375_-43.625,south_america,1197,1178,0.8313274219501091,0.4194910176245303
-16.375_-43.375,south_america,885,883,0.8375200007033456,0.4182355367918671
-16.375_-42.625,south_america,1251,1243,0.8479801209192436,0.4785342333349787
-16.375_-41.875,south_america,481,476,0.7722484514830715,0.20779914463904983
-16.375_-40.875,south_america,438,436,0.8165511489161008,0.6412403838667738
-16.375_-40.625,south_america,782,775,0.597493472946748,0.4206717087152485
-16.125_-44.125,south_america,998,995,0.5813589452937769,-0.01293012623649738
-16.125_-42.375,south_america,179,177,0.6578560394442471,0.33466179741614377
-16.125_-40.375,south_america,1202,1190,0.5494598484058445,0.2699801399020299
-15.875_-43.375,south_america,549,547,0.8956411473174152,0.30366036001326513
-15.875_-42.125,south_america,1362,1352,0.8442124319048218,0.3963096302561588
-15.875_-40.125,south_america,842,836,0.7292648525949952,0.5184184252610272
-15.625_-42.875,south_america,791,789,0.8820864607562173,0.3988999372397536
-15.625_-41.375,south_america,624,620,0.8667790109266937,0.5479193789193536
-15.625_-41.125,south_america,981,971,0.8714513731644322,0.590381931363024
-15.375_-44.625,south_america,1383,1373,0.8809732702614818,0.4236944685918771
-15.375_-44.375,south_america,252,242,0.5771619076601014,0.42441431996433676
-15.375_-42.625,south_america,707,683,0.9126721919856128,0.5083897926886541
-15.125_-42.875,south_america,1055,1045,0.923575915817749,0.5659995724005207
-15.125_-41.625,south_america,741,732,0.5192055103969091,-0.03918099939181663
-15.125_-40.625,south_america,367,366,0.7914361972582469,0.3284334453470391
-15.125_-40.125,south_america,274,272,0.746032486513524,0.44978588656150875
-14.875_-44.125,south_america,913,910,0.8679117768563441,0.4308825997781056
-14.875_-43.875,south_america,830,818,0.6515821209810219,-0.018175958750603155
-14.875_-42.625,south_america,726,720,0.7714524279860686,0.5318631831308054
-14.875_-41.875,south_america,686,677,0.8083718673175223,0.4540166571134823
-14.875_-41.125,south_america,579,578,0.7030834141760118,0.36087909981778943
-14.875_-40.625,south_america,1260,1235,0.7000926269466073,0.4206585293320535
-14.625_-42.625,south_america,746,737,0.8324859858159827,0.4700179970915014
-14.625_-41.875,south_america,1022,997,0.8288490226550096,0.47328411061291864
-14.625_-41.375,south_america,778,769,0.799306902513136,0.38261832553913183
-14.625_-40.625,south_america,1337,1329,0.7321655977864662,0.32216703617288556
-14.625_-40.375,south_america,677,665,0.6696287243861201,0.3197860114550237
-14.375_-44.625,south_america,575,547,0.8324525579452581,0.4188905587105084
-14.375_-44.375,south_america,185,184,0.80147755475771,0.12336211492778303
-14.375_-42.875,south_america,1038,1022,0.7794535725730545,0.5438218737669623
-14.375_-42.375,south_america,839,826,0.8615933061061892,0.4813461342440965
-14.375_-42.125,south_america,781,774,0.8121139126330058,0.5068086292214966
-14.375_-41.375,south_america,760,758,0.8389104917600264,0.565110156716593
-14.375_-40.875,south_america,790,787,0.5046051746092451,0.13507666620459163
-14.375_-40.375,south_america,746,732,0.7058378844820387,0.4099954896449555
-14.125_-42.875,south_america,1338,1331,0.8489582040069497,0.44108356551593214
-14.125_-42.375,south_america,455,453,0.7159078911255533,0.4787748219832511
-14.125_-41.125,south_america,145,130,0.9238966246153233,0.13380285910226772
-14.125_-40.375,south_america,1274,1234,0.6514556670979833,0.24842522155497107
-13.875_-42.625,south_america,146,140,0.9398699305181152,0.4156409297301889
-13.625_-42.875,south_america,1180,1140,0.8498566974865265,0.37630401276716335
-13.625_-42.375,south_america,1331,1324,0.8229348529161876,0.5113654973431587
-13.625_-41.875,south_america,1188,1172,0.7552843780106256,0.29254672074576415
-13.625_-41.375,south_america,578,576,0.6405246258155738,0.4638170124655568
-13.625_-40.125,south_america,788,784,0.11366161828680858,0.30330079762531775
-13.375_-43.625,south_america,327,325,0.836987143608929,0.32060348713947384
-13.375_-42.375,south_america,652,648,0.7611447138216656,0.507239810240961
-13.375_-41.625,south_america,1311,1303,0.7458110606812154,0.21535933653214126
-13.375_-41.375,south_america,1346,1342,0.7740547795114097,0.49518176349258974
-13.375_-40.875,south_america,620,617,0.7963492430646684,0.4983947514303882
-13.375_-40.125,south_america,1313,1299,0.3371064593025729,0.40954042993537537
-13.375_-39.875,south_america,1322,1317,0.5195999508073362,0.3263159599194082
-13.375_-39.625,south_america,880,870,0.49935019898900496,0.4791122613470743
-13.125_-41.875,south_america,799,776,0.6604244510521503,0.36552023961795943
-13.125_-40.875,south_america,789,785,0.5372572153853862,0.42509983237182797
-13.125_-40.125,south_america,1321,1305,0.5008766841502864,0.39760197999298197
-13.125_-39.625,south_america,384,379,0.5994702472919903,0.44517633645095395
-12.875_-43.375,south_america,699,674,0.8960786772398666,0.4326969639833022
-12.875_-42.625,south_america,353,343,0.7517335976170639,0.3450022702451556
