key,grid,layer,depth_interval,n_final_sources,n_final_secondaries,median_station_mean,relative_spread_pct
-9.125_-36.625|layer1|10-10,-9.125_-36.625,layer1,10-10,2,1,0.13656432048939954,15.036113076316868
-9.125_-37.375|layer1|10-10,-9.125_-37.375,layer1,10-10,2,1,0.054167860623261996,56.84741858278796
-9.125_-38.125|layer1|10-10,-9.125_-38.125,layer1,10-10,2,1,0.03137173715340425,2.792047904618546
-9.625_-37.375|layer1|10-10,-9.625_-37.375,layer1,10-10,2,1,0.05163360578969775,65.26814257778264
13.625_2.625|layer1|5-5,13.625_2.625,layer1,5-5,4,3,0.032877528563337935,16.735097049106443
17.375_96.375|layer1|1-10,17.375_96.375,layer1,1-10,3,2,0.15477533216783215,13.682469426656285
17.375_96.625|layer1|1-10,17.375_96.625,layer1,1-10,2,1,0.23190157592987443,9.850393482374106
18.125_-67.125|layer1|5-5,18.125_-67.125,layer1,5-5,2,1,0.2655037851946165,15.78804043979023
19.875_-155.375|layer1|5-5,19.875_-155.375,layer1,5-5,5,4,0.17757214322781525,56.631809266443405
19.875_-155.625|layer1|5-5,19.875_-155.625,layer1,5-5,2,1,0.12870539448012402,2.784322857818699
20.125_-155.625|layer1|5-5,20.125_-155.625,layer1,5-5,3,2,0.280579255998619,2.3309796774125724
30.125_-98.625|layer1|5-5,30.125_-98.625,layer1,5-5,3,2,0.1296263580750408,60.27354181288772
30.125_-98.875|layer1|5-5,30.125_-98.875,layer1,5-5,2,1,0.2006359189085296,18.054059490108955
30.375_-98.625|layer1|5-5,30.375_-98.625,layer1,5-5,2,1,0.20168532361911218,7.981211996053775
30.375_-98.875|layer1|5-5,30.375_-98.875,layer1,5-5,2,1,0.21336624381916236,16.81889331895221
31.125_91.625|layer1|0-5,31.125_91.625,layer1,0-5,3,2,0.14131229564032696,7.5778059142058
31.125_92.125|layer1|0-5,31.125_92.125,layer1,0-5,3,2,0.19844213909378292,33.98969118487531
31.375_91.875|layer1|5-5,31.375_91.875,layer1,5-5,6,5,0.13761395506581448,11.076585252106744
31.625_-109.875|layer1|5-5,31.625_-109.875,layer1,5-5,2,1,0.06984104207324072,62.67701513030022
31.625_-110.125|layer1|5-5,31.625_-110.125,layer1,5-5,4,3,0.13007763293096253,21.276364242883318
31.625_91.625|layer1|0-5,31.625_91.625,layer1,0-5,3,2,0.2136429595827901,23.638161370257393
31.625_91.875|layer1|0-5,31.625_91.875,layer1,0-5,7,6,0.21061926282051283,10.891203413702009
31.625_92.125|layer1|0-5,31.625_92.125,layer1,0-5,3,2,0.1826036990154712,28.267229869636417
31.625_92.375|layer1|0-5,31.625_92.375,layer1,0-5,5,4,0.2983567656765676,22.602248102716988
31.875_91.625|layer1|0-5,31.875_91.625,layer1,0-5,5,4,0.24974385889128872,30.817979644974777
31.875_91.875|layer1|0-5,31.875_91.875,layer1,0-5,3,2,0.2845823529411765,10.713712466018192
32.375_80.125|layer1|5-5,32.375_80.125,layer1,5-5,3,2,0.08073215263157896,14.55589786022534
32.625_-106.625|layer1|5-5,32.625_-106.625,layer1,5-5,4,3,0.09195499292083129,37.63961747931031
32.625_-106.875|layer1|5-5,32.625_-106.875,layer1,5-5,3,2,0.0707867903930131,20.58453944875107
32.625_79.875|layer1|5-5,32.625_79.875,layer1,5-5,6,5,0.0770816033153694,77.18148612367746
33.375_79.625|layer1|5-5,33.375_79.625,layer1,5-5,3,2,0.09172565963060687,11.767549653886562
33.625_101.875|layer1|5-5,33.625_101.875,layer1,5-5,3,2,0.3846829310344827,5.281464648173445
33.625_102.125|layer1|5-5,33.625_102.125,layer1,5-5,3,2,0.39976842948717944,8.997655898885167
33.625_102.375|layer1|5-5,33.625_102.375,layer1,5-5,2,1,0.29360926572367213,29.07734056898014
33.875_-83.375|layer1|5-5,33.875_-83.375,layer1,5-5,4,3,0.17976762533218005,29.046119723201816
33.875_102.125|layer1|5-5,33.875_102.125,layer1,5-5,5,4,0.31300040927021694,23.684987524000086
33.875_102.625|layer1|5-5,33.875_102.625,layer1,5-5,3,2,0.22316271014492756,26.213838737449166
34.125_101.875|layer1|5-5,34.125_101.875,layer1,5-5,2,1,0.2722658020957873,5.815464085548464
34.875_-111.625|layer1|5-5,34.875_-111.625,layer1,5-5,5,4,0.2135879962663348,19.76499631558569
34.875_-86.625|layer1|5-5,34.875_-86.625,layer1,5-5,5,4,0.2778962409730141,1.630568247990555
34.875_-98.125|layer1|5-5,34.875_-98.125,layer1,5-5,2,1,0.30973358106848997,2.981744553985232
35.375_-82.625|layer1|5-5,35.375_-82.625,layer1,5-5,2,1,0.24854320300529603,5.59125341209001
35.375_-98.875|layer1|5-5,35.375_-98.875,layer1,5-5,2,1,0.2721138527261334,0.6965459837826032
35.625_-96.125|layer1|2-2,35.625_-96.125,layer1,2-2,3,2,0.24719826714801446,1.0601594814135105
35.625_-96.875|layer1|5-5,35.625_-96.875,layer1,5-5,2,1,0.30852496361256937,1.3999753949936418
35.625_-98.125|layer1|5-5,35.625_-98.125,layer1,5-5,2,1,0.2584966635287863,12.169776272180762
35.875_-97.125|layer1|5-5,35.875_-97.125,layer1,5-5,3,2,0.29296776143141157,2.395546970977415
35.875_-98.125|layer1|5-5,35.875_-98.125,layer1,5-5,3,2,0.1993036592178771,5.466453487854844
36.125_-105.625|layer1|5-5,36.125_-105.625,layer1,5-5,3,2,0.18802061569416498,29.60125883429757
36.125_-106.875|layer1|5-5,36.125_-106.875,layer1,5-5,2,1,0.19638123311552247,18.723550593334593
36.125_-115.625|layer1|5-5,36.125_-115.625,layer1,5-5,3,2,0.12132431350750418,1.5543586470468105
36.125_-97.125|layer1|5-5,36.125_-97.125,layer1,5-5,2,1,0.2284923039615271,12.971818207102102
36.125_-97.625|layer1|5-5,36.125_-97.625,layer1,5-5,3,2,0.21096105655930872,2.5282996958113095
36.125_-98.625|layer1|4-4,36.125_-98.625,layer1,4-4,6,5,0.18559357692936354,24.16865096779097
36.125_-99.125|layer1|5-5,36.125_-99.125,layer1,5-5,2,1,0.26680410898647955,0.4252046061422884
36.375_-115.625|layer1|5-5,36.375_-115.625,layer1,5-5,4,3,0.11680018532282985,32.97576409603174
36.375_-115.875|layer1|5-5,36.375_-115.875,layer1,5-5,3,2,0.11518390577149588,5.722487233981369
36.375_-97.125|layer1|5-5,36.375_-97.125,layer1,5-5,3,2,0.2564373724069806,2.089018222737659
36.375_-97.875|layer1|5-5,36.375_-97.875,layer1,5-5,2,1,0.18154810856731474,3.521706877445669
36.625_-101.625|layer1|5-5,36.625_-101.625,layer1,5-5,2,1,0.18584597587640897,14.242813405093386
36.625_-97.375|layer1|5-5,36.625_-97.375,layer1,5-5,2,1,0.28640899201102177,2.54454363806505
36.875_-96.375|layer1|5-5,36.875_-96.375,layer1,5-5,2,1,0.3068830397501321,0.6735309371019731
36.875_-97.125|layer1|5-5,36.875_-97.125,layer1,5-5,3,2,0.1748766644113667,14.642312201559266
36.875_-97.875|layer1|5-5,36.875_-97.875,layer1,5-5,3,2,0.22678369996636394,2.966359635482305
36.875_-98.375|layer1|5-5,36.875_-98.375,layer1,5-5,2,1,0.25813303013818967,0.9393124711181724
37.125_-105.125|layer1|5-5,37.125_-105.125,layer1,5-5,2,1,0.11459550867663916,75.62367440529445
37.125_-105.875|layer1|5-5,37.125_-105.875,layer1,5-5,5,4,0.12615098784194528,17.410901180554177
37.125_-95.875|layer1|5-5,37.125_-95.875,layer1,5-5,2,1,0.3341630956817749,0.36427322374232424
37.125_-97.375|layer1|5-5,37.125_-97.375,layer1,5-5,2,1,0.30904920697278937,0.29997492328455505
37.125_-97.875|layer1|5-5,37.125_-97.875,layer1,5-5,3,2,0.27856495637723305,4.730390589097939
37.125_-98.125|layer1|5-5,37.125_-98.125,layer1,5-5,3,2,0.21003538005390837,16.121490297445146
37.125_127.625|layer1|10-10,37.125_127.625,layer1,10-10,2,1,0.22055799188631758,11.230342527730077
37.375_-106.875|layer1|5-5,37.375_-106.875,layer1,5-5,2,1,0.19475008047973408,3.8108552458181078
37.375_-112.625|layer1|5-5,37.375_-112.625,layer1,5-5,3,2,0.12837515586034912,55.90498444537071
37.375_-113.875|layer1|5-5,37.375_-113.875,layer1,5-5,3,2,0.14428035669846537,45.2180841101258
37.375_-96.125|layer1|5-5,37.375_-96.125,layer1,5-5,2,1,0.32090044183993294,0.09247786075619754
37.375_-99.375|layer1|5-5,37.375_-99.375,layer1,5-5,2,1,0.1352921092717207,1.198338041613491
37.625_-112.625|layer1|5-5,37.625_-112.625,layer1,5-5,3,2,0.15492230886850153,33.520424791398185
37.625_-112.875|layer1|5-5,37.625_-112.875,layer1,5-5,6,5,0.16163660800877172,25.551855596161733
37.875_-109.375|layer1|5-5,37.875_-109.375,layer1,5-5,2,1,0.21746325100891872,4.889485934338211
37.875_-111.875|layer1|5-5,37.875_-111.875,layer1,5-5,2,1,0.2052044373705365,19.15233733624823
37.875_-97.125|layer1|5-5,37.875_-97.125,layer1,5-5,2,1,0.33451448377347937,0.8461988607175515
37.875_-98.375|layer1|5-5,37.875_-98.375,layer1,5-5,2,1,0.13351063619126496,0.3499027122986446
38.125_-111.375|layer1|5-5,38.125_-111.375,layer1,5-5,2,1,0.1911331038658871,5.038824492753472
38.125_-119.125|layer1|5-5,38.125_-119.125,layer1,5-5,2,1,0.046591824483943736,16.46376860276883
38.125_-120.875|layer1|5-5,38.125_-120.875,layer1,5-5,8,7,0.18033444677588778,19.717732527076045
38.125_-95.625|layer1|5-5,38.125_-95.625,layer1,5-5,2,1,0.4099679258302018,0.06848841948021946
38.125_-97.625|layer1|5-5,38.125_-97.625,layer1,5-5,2,1,0.3353456802009027,0.39208945271952506
38.125_-99.375|layer1|5-5,38.125_-99.375,layer1,5-5,2,1,0.2826996133975821,0.9108620959000225
38.375_-109.375|layer1|5-5,38.375_-109.375,layer1,5-5,3,2,0.13657180587780357,28.857796771322572
38.375_-112.375|layer1|5-5,38.375_-112.375,layer1,5-5,6,5,0.21017068242255443,31.352940853807944
38.375_-119.375|layer1|5-5,38.375_-119.375,layer1,5-5,2,1,0.10172969287271842,8.630895091546583
38.375_-119.625|layer1|5-5,38.375_-119.625,layer1,5-5,5,4,0.09117377810361682,26.44627001360903
38.375_-120.875|layer1|5-5,38.375_-120.875,layer1,5-5,6,5,0.15193889553493173,10.058020162709113
38.375_-97.375|layer1|5-5,38.375_-97.375,layer1,5-5,2,1,0.34733594039246257,1.0921305548837232
38.625_-119.625|layer1|5-5,38.625_-119.625,layer1,5-5,3,2,0.1945475609756098,32.55711489841861
38.625_-119.875|layer1|5-5,38.625_-119.875,layer1,5-5,6,5,0.06194367385866624,132.46459371043528
38.625_-92.125|layer1|5-5,38.625_-92.125,layer1,5-5,3,2,0.2808403415061296,13.202966603193339
38.625_102.875|layer1|5-5,38.625_102.875,layer1,5-5,4,3,0.051670959727747164,11.089682785289993
38.875_-106.625|layer1|5-5,38.875_-106.625,layer1,5-5,3,2,0.26790456647398847,29.450242451094358
38.875_-111.625|layer1|5-5,38.875_-111.625,layer1,5-5,4,3,0.2389261773269275,15.624972668239463
38.875_-112.125|layer1|5-5,38.875_-112.125,layer1,5-5,2,1,0.16591334815520378,24.807468381219664
38.875_-119.875|layer1|5-5,38.875_-119.875,layer1,5-5,2,1,0.0371081624345715,25.65751137765925
38.875_-120.125|layer1|5-5,38.875_-120.125,layer1,5-5,5,4,0.09919310948310948,48.92867628383025
39.125_-106.875|layer1|5-5,39.125_-106.875,layer1,5-5,6,5,0.13297880772731943,31.59439244389869
39.125_-111.375|layer1|5-5,39.125_-111.375,layer1,5-5,4,3,0.20536431332486443,41.72799030210119
39.125_-111.625|layer1|5-5,39.125_-111.625,layer1,5-5,5,4,0.22003171167744387,14.68812260608491
39.125_-120.125|layer1|5-5,39.125_-120.125,layer1,5-5,2,1,0.19873399306383782,10.86285749304441
39.125_-123.125|layer1|5-5,39.125_-123.125,layer1,5-5,2,1,0.2192222554842814,2.6570983079030785
39.375_-106.125|layer1|5-5,39.375_-106.125,layer1,5-5,7,6,0.206750960960961,26.32940533291122
39.375_-111.375|layer1|5-5,39.375_-111.375,layer1,5-5,7,6,0.23327907834101383,20.90668793882184
39.375_-111.625|layer1|5-5,39.375_-111.625,layer1,5-5,2,1,0.15366100340236685,28.78369499549278
39.375_-114.625|layer1|5-5,39.375_-114.625,layer1,5-5,2,1,0.11833242277441933,15.57771859339205
39.375_-119.875|layer1|5-5,39.375_-119.875,layer1,5-5,2,1,0.09129778254638442,39.825360569741434
39.375_-120.375|layer1|5-5,39.375_-120.375,layer1,5-5,3,2,0.0778953189938024,16.07234536533449
39.375_-123.125|layer1|5-5,39.375_-123.125,layer1,5-5,2,1,0.18056876393206528,11.406789347957217
39.625_-1.375|layer1|0-5,39.625_-1.375,layer1,0-5,2,1,0.14347964047725412,4.871834710801842
39.625_-105.875|layer1|5-5,39.625_-105.875,layer1,5-5,2,1,0.09918468366205872,19.944297132364927
39.625_-110.375|layer1|5-5,39.625_-110.375,layer1,5-5,3,2,0.22286724661469018,13.746775467630433
39.625_-111.375|layer1|5-5,39.625_-111.375,layer1,5-5,4,3,0.2256578400998442,17.014815068343907
39.875_-105.875|layer1|5-5,39.875_-105.875,layer1,5-5,2,1,0.11030214309185388,40.80466580975765
39.875_-111.375|layer1|5-5,39.875_-111.375,layer1,5-5,4,3,0.15165878148795814,21.203964220879325
39.875_-111.625|layer1|5-5,39.875_-111.625,layer1,5-5,3,2,0.15087650544135428,47.05761392464391
40.125_-105.625|layer1|5-5,40.125_-105.625,layer1,5-5,3,2,0.13817424297370806,13.447671586821789
40.125_-105.875|layer1|5-5,40.125_-105.875,layer1,5-5,2,1,0.17180727651617556,37.72663621367129
40.375_-111.125|layer1|5-5,40.375_-111.125,layer1,5-5,2,1,0.16519094820491442,0.029073114829715294
40.375_-111.625|layer1|5-5,40.375_-111.625,layer1,5-5,2,1,0.12823370646636598,2.493106641399519
40.375_-115.625|layer1|5-5,40.375_-115.625,layer1,5-5,2,1,0.11722417236128202,36.95360680449249
40.625_-109.625|layer1|5-5,40.625_-109.625,layer1,5-5,2,1,0.15503700439879267,24.88055534839288
40.625_-110.375|layer1|5-5,40.625_-110.375,layer1,5-5,3,2,0.20525633431085047,36.38946404082992
40.625_-110.625|layer1|5-5,40.625_-110.625,layer1,5-5,5,4,0.1899538608695652,43.77273476182628
40.625_-111.125|layer1|5-5,40.625_-111.125,layer1,5-5,3,2,0.16270424877707898,14.746664578711695
40.625_-111.625|layer1|5-5,40.625_-111.625,layer1,5-5,9,8,0.15293133004926107,32.124774600214394
40.625_-115.375|layer1|5-5,40.625_-115.375,layer1,5-5,2,1,0.1612195545615865,0.5225492401250876
40.625_-120.625|layer1|5-5,40.625_-120.625,layer1,5-5,2,1,0.0862498640907447,59.58884879464275
40.875_-104.625|layer1|5-5,40.875_-104.625,layer1,5-5,3,2,0.1520444127806563,17.955673204567173
40.875_-106.625|layer1|5-5,40.875_-106.625,layer1,5-5,3,2,0.18126182890855455,14.409235272849367
40.875_-110.125|layer1|5-5,40.875_-110.125,layer1,5-5,5,4,0.16466386981402,40.24794500337703
40.875_-110.625|layer1|5-5,40.875_-110.625,layer1,5-5,4,3,0.2759989957988712,30.17407031244964
40.875_-110.875|layer1|5-5,40.875_-110.875,layer1,5-5,6,5,0.1864666441804647,42.25518028098144
40.875_-111.125|layer1|5-5,40.875_-111.125,layer1,5-5,4,3,0.14893121159883177,46.2313842785244
40.875_-111.625|layer1|5-5,40.875_-111.625,layer1,5-5,6,5,0.17942845920463224,19.678355407617687
40.875_-111.875|layer1|5-5,40.875_-111.875,layer1,5-5,7,6,0.184924188844331,17.539983446589716
40.875_-115.125|layer1|5-5,40.875_-115.125,layer1,5-5,4,3,0.13742897726112818,28.618552315066736
40.875_25.875|layer1|0-10,40.875_25.875,layer1,0-10,7,6,0.27444608695652173,13.327559107325678
41.125_-111.375|layer1|5-5,41.125_-111.375,layer1,5-5,2,1,0.188708082648469,5.948478918622905
41.125_-5.375|layer1|0-5,41.125_-5.375,layer1,0-5,4,3,0.18352228970234213,28.315600138292687
41.375_-111.375|layer1|5-5,41.375_-111.375,layer1,5-5,6,5,0.1131144491230084,30.488151923303924
41.375_-111.875|layer1|5-5,41.375_-111.875,layer1,5-5,2,1,0.17609912733407884,5.232546294752262
41.375_-5.125|layer1|0-5,41.375_-5.125,layer1,0-5,3,2,0.18213600844772967,25.70993472386415
41.375_-5.375|layer1|0-5,41.375_-5.375,layer1,0-5,4,3,0.16035195961589868,47.37209064537954
41.375_-5.625|layer1|0-5,41.375_-5.625,layer1,0-5,2,1,0.12329887012068366,42.49998703613656
41.375_-71.625|layer1|5-5,41.375_-71.625,layer1,5-5,2,1,0.2234855423223569,11.523881534095507
41.625_-115.375|layer1|5-5,41.625_-115.375,layer1,5-5,2,1,0.17948358633466488,0.7263794796579163
41.625_-116.125|layer1|5-5,41.625_-116.125,layer1,5-5,2,1,0.15451466615460974,1.1016007316384466
41.625_-117.625|layer1|5-5,41.625_-117.625,layer1,5-5,2,1,0.18969196097172475,36.021739756515764
41.875_-111.625|layer1|5-5,41.875_-111.625,layer1,5-5,5,4,0.1895995238095238,20.278046609891575
41.875_-115.125|layer1|5-5,41.875_-115.125,layer1,5-5,2,1,0.15136016966514476,5.361763511082982
41.875_-116.125|layer1|5-5,41.875_-116.125,layer1,5-5,2,1,0.2299176792625805,11.171011329778175
41.875_1.625|layer1|5-5,41.875_1.625,layer1,5-5,2,1,0.130531600823879,11.533235933310964
41.875_115.625|layer1|5-5,41.875_115.625,layer1,5-5,5,4,0.22988607798165137,17.71763634916234
41.875_116.375|layer1|5-5,41.875_116.375,layer1,5-5,2,1,0.15679860025677533,26.1805128708668
42.125_0.875|layer1|5-5,42.125_0.875,layer1,5-5,3,2,0.24209372405372404,23.86642176783893
42.125_1.125|layer1|5-5,42.125_1.125,layer1,5-5,2,1,0.15073373736541054,25.30430317993778
42.125_115.875|layer1|5-5,42.125_115.875,layer1,5-5,2,1,0.13061192270123037,1.3220204682032235
42.125_116.125|layer1|5-5,42.125_116.125,layer1,5-5,3,2,0.1349600898203593,23.102624835863597
42.375_-83.625|layer1|10-10,42.375_-83.625,layer1,10-10,3,2,0.16692201848998459,5.60322189513539
42.375_1.875|layer1|5-5,42.375_1.875,layer1,5-5,2,1,0.09680690379190302,14.00077226502954
42.375_115.625|layer1|5-5,42.375_115.625,layer1,5-5,2,1,0.13655082321187584,0.7200830643847935
42.375_116.125|layer1|5-5,42.375_116.125,layer1,5-5,2,1,0.17700224430413874,13.90853163025795
42.625_-109.375|layer1|5-5,42.625_-109.375,layer1,5-5,2,1,0.15986454755825422,35.64237900640474
43.125_-70.875|layer1|5-5,43.125_-70.875,layer1,5-5,2,1,0.18153425146000535,11.928365212470654
43.125_12.375|layer1|5-5,43.125_12.375,layer1,5-5,2,1,0.2363325401143797,5.258402430785714
43.375_3.375|layer1|5-5,43.375_3.375,layer1,5-5,2,1,0.13136560481111345,32.4548736956915
43.625_-113.875|layer1|5-5,43.625_-113.875,layer1,5-5,3,2,0.10774826379542396,20.02483200471884
43.625_-96.625|layer1|5-5,43.625_-96.625,layer1,5-5,2,1,0.2896949979682406,3.6759441815321674
43.875_-0.125|layer1|5-5,43.875_-0.125,layer1,5-5,2,1,0.18299064786240316,1.5082617669382579
44.125_-110.625|layer1|5-5,44.125_-110.625,layer1,5-5,2,1,0.15651604107694495,43.190813168877284
44.375_-0.875|layer1|5-5,44.375_-0.875,layer1,5-5,2,1,0.12312584423213427,12.89992118678355
44.625_4.125|layer1|5-5,44.625_4.125,layer1,5-5,3,2,0.19404416970802918,14.504884105137492
44.625_8.625|layer1|10-10,44.625_8.625,layer1,10-10,5,4,0.2514108529411765,6.057240232082168
45.125_7.125|layer1|10-10,45.125_7.125,layer1,10-10,2,1,0.14294102170531864,2.275347038133684
45.375_-74.875|layer1|5-5,45.375_-74.875,layer1,5-5,8,7,0.28336503767896665,14.312968192995585
45.375_-75.125|layer1|5-5,45.375_-75.125,layer1,5-5,6,5,0.2768412650204161,1.2726835598195494
46.875_-121.625|layer1|5-5,46.875_-121.625,layer1,5-5,2,1,0.14676217573290978,11.287263138487104
47.875_-117.125|layer1|5-5,47.875_-117.125,layer1,5-5,2,1,0.13106192386003063,4.909597265607079
47.875_20.625|layer1|0-10,47.875_20.625,layer1,0-10,6,5,0.2109760367725027,18.151881337569524
48.125_15.125|layer1|5-5,48.125_15.125,layer1,5-5,8,7,0.28045502360469143,12.852580256903794
48.125_15.875|layer1|0-10,48.125_15.875,layer1,0-10,2,1,0.21743967446284762,28.650333500772255
48.125_20.875|layer1|0-10,48.125_20.875,layer1,0-10,5,4,0.26412753846153847,9.160238143306415
48.375_-105.125|layer1|5-5,48.375_-105.125,layer1,5-5,2,1,0.20508776234398313,1.8429520706977864
48.375_12.375|layer1|5-5,48.375_12.375,layer1,5-5,2,1,0.32816041878580016,0.12783569105529605
48.375_12.625|layer1|5-5,48.375_12.625,layer1,5-5,4,3,0.3273328016844986,6.639296538034585
48.375_12.875|layer1|5-5,48.375_12.875,layer1,5-5,2,1,0.29626733178521314,1.5855859806654868
48.375_21.125|layer1|0-10,48.375_21.125,layer1,0-10,2,1,0.2377543918693295,9.619024714918949
48.625_-120.625|layer1|5-5,48.625_-120.625,layer1,5-5,2,1,0.07986576806950318,28.60963276949832
48.625_12.875|layer1|5-5,48.625_12.875,layer1,5-5,2,1,0.3103482877679907,2.8562875498650766
49.375_-97.875|layer1|5-5,49.375_-97.875,layer1,5-5,3,2,0.32951517173699707,1.8679825975538127
49.625_-97.875|layer1|5-5,49.625_-97.875,layer1,5-5,9,8,0.2708207059679767,26.87570129138646
49.625_-98.125|layer1|5-5,49.625_-98.125,layer1,5-5,7,6,0.1487230562552477,18.567402425631556
49.875_-97.375|layer1|5-5,49.875_-97.375,layer1,5-5,3,2,0.4208950062266501,2.4491112849576937
49.875_-97.875|layer1|5-5,49.875_-97.875,layer1,5-5,3,2,0.35267725689404933,1.3787022742731017
50.125_-5.125|layer1|10-10,50.125_-5.125,layer1,10-10,2,1,0.3384699888739996,5.4831148909449965
50.125_-97.625|layer1|5-5,50.125_-97.625,layer1,5-5,4,3,0.3264908421110531,5.768444959157156
50.625_6.375|layer1|5-5,50.625_6.375,layer1,5-5,3,2,0.3239425294541957,1.0537890433893033
50.875_-2.625|layer1|5-5,50.875_-2.625,layer1,5-5,2,1,0.2844538775425782,7.465017288847115
50.875_-3.875|layer1|10-10,50.875_-3.875,layer1,10-10,2,1,0.35092272799412383,1.2135585470216388
50.875_0.125|layer1|10-10,50.875_0.125,layer1,10-10,2,1,0.19352047888965324,1.2557779583117592
50.875_6.375|layer1|5-5,50.875_6.375,layer1,5-5,6,5,0.24972668521936936,5.476214166536803
51.125_-0.875|layer1|10-10,51.125_-0.875,layer1,10-10,2,1,0.3053071839173826,3.395404649049529
51.125_0.375|layer1|5-5,51.125_0.375,layer1,5-5,2,1,0.26322809672031583,1.9947574761071387
51.125_6.125|layer1|5-5,51.125_6.125,layer1,5-5,2,1,0.20006341552463935,5.384049983263865
51.375_-0.625|layer1|10-10,51.375_-0.625,layer1,10-10,2,1,0.35851113756289693,11.414574403407734
51.375_-106.375|layer1|5-5,51.375_-106.375,layer1,5-5,3,2,0.12706457589285713,11.755734169202835
51.375_-106.625|layer1|5-5,51.375_-106.625,layer1,5-5,3,2,0.19015704747774478,14.517771389279375
51.375_0.375|layer1|10-10,51.375_0.375,layer1,10-10,2,1,0.2510036480408604,9.293727727640324
