key,grid,layer,depth_interval,overlap_corr_median,overlap_corr_mean,n_final_secondary_pairs,total_gapfilled_days
31.625_92.375|layer1|0-5,31.625_92.375,layer1,0-5,0.8320923055187217,0.8170601522240938,4,38
31.875_91.625|layer1|0-5,31.875_91.625,layer1,0-5,0.6496204572735862,0.6434007054243567,4,45
31.875_91.875|layer1|0-5,31.875_91.875,layer1,0-5,0.7547743047858491,0.7547743047858491,2,6
32.375_80.125|layer1|5-5,32.375_80.125,layer1,5-5,0.8504802729849121,0.8504802729849121,2,98
32.625_-106.625|layer1|5-5,32.625_-106.625,layer1,5-5,0.8491353847665898,0.8277868234871394,3,234
32.625_-106.875|layer1|5-5,32.625_-106.875,layer1,5-5,0.7921654036515569,0.7921654036515569,2,362
32.625_79.875|layer1|5-5,32.625_79.875,layer1,5-5,0.6334979959165897,0.6651504502335704,5,27
33.375_79.625|layer1|5-5,33.375_79.625,layer1,5-5,0.7694594210771882,0.7694594210771882,2,161
33.625_101.875|layer1|5-5,33.625_101.875,layer1,5-5,0.6641803785056224,0.6641803785056224,2,20
33.625_102.125|layer1|5-5,33.625_102.125,layer1,5-5,0.5331443072422397,0.5331443072422397,2,450
33.625_102.375|layer1|5-5,33.625_102.375,layer1,5-5,0.3451563336175484,0.3451563336175484,1,245
33.875_-83.375|layer1|5-5,33.875_-83.375,layer1,5-5,0.7830392685569418,0.7765450349362695,3,1618
33.875_102.125|layer1|5-5,33.875_102.125,layer1,5-5,0.8109906124337727,0.8197308371398256,4,133
33.875_102.625|layer1|5-5,33.875_102.625,layer1,5-5,0.6988453184640842,0.6988453184640842,2,313
34.125_101.875|layer1|5-5,34.125_101.875,layer1,5-5,0.7582147496924325,0.7582147496924325,1,352
34.875_-111.625|layer1|5-5,34.875_-111.625,layer1,5-5,0.6762807878900348,0.6900102968851713,4,1603
34.875_-86.625|layer1|5-5,34.875_-86.625,layer1,5-5,0.7402501725694288,0.7361327360731611,4,2963
34.875_-98.125|layer1|5-5,34.875_-98.125,layer1,5-5,0.8258247829916422,0.8258247829916422,1,17
35.375_-82.625|layer1|5-5,35.375_-82.625,layer1,5-5,0.8045379496923137,0.8045379496923137,1,2
35.375_-98.875|layer1|5-5,35.375_-98.875,layer1,5-5,0.938702621115976,0.938702621115976,1,145
35.625_-96.125|layer1|2-2,35.625_-96.125,layer1,2-2,0.8950119960504879,0.8950119960504879,2,29
35.625_-96.875|layer1|5-5,35.625_-96.875,layer1,5-5,0.9267805998292084,0.9267805998292084,1,257
35.625_-98.125|layer1|5-5,35.625_-98.125,layer1,5-5,0.4232167216543362,0.4232167216543362,1,1442
35.875_-97.125|layer1|5-5,35.875_-97.125,layer1,5-5,0.9509792297774986,0.9509792297774986,2,35
35.875_-98.125|layer1|5-5,35.875_-98.125,layer1,5-5,0.969000006297547,0.969000006297547,2,10
36.125_-105.625|layer1|5-5,36.125_-105.625,layer1,5-5,0.5596362832871546,0.5596362832871546,2,157
36.125_-106.875|layer1|5-5,36.125_-106.875,layer1,5-5,0.704723369276616,0.704723369276616,1,60
36.125_-115.625|layer1|5-5,36.125_-115.625,layer1,5-5,0.7358880629894986,0.7358880629894986,2,1613
36.125_-97.125|layer1|5-5,36.125_-97.125,layer1,5-5,0.8803207886720886,0.8803207886720886,1,37
36.125_-97.625|layer1|5-5,36.125_-97.625,layer1,5-5,0.9518775663042052,0.9518775663042052,2,11
36.125_-98.625|layer1|4-4,36.125_-98.625,layer1,4-4,0.8266248152520971,0.7721821131499232,5,81
36.125_-99.125|layer1|5-5,36.125_-99.125,layer1,5-5,0.9447374928020452,0.9447374928020452,1,14
36.375_-115.625|layer1|5-5,36.375_-115.625,layer1,5-5,0.6235824695764463,0.6879981582001927,3,837
36.375_-115.875|layer1|5-5,36.375_-115.875,layer1,5-5,0.8408141424209474,0.8408141424209474,2,1005
36.375_-97.125|layer1|5-5,36.375_-97.125,layer1,5-5,0.9726223820350388,0.9726223820350388,2,22
36.375_-97.875|layer1|5-5,36.375_-97.875,layer1,5-5,0.9055525451611696,0.9055525451611696,1,1
36.625_-101.625|layer1|5-5,36.625_-101.625,layer1,5-5,0.8699956576667686,0.8699956576667686,1,643
36.625_-97.375|layer1|5-5,36.625_-97.375,layer1,5-5,0.7215705061242275,0.7215705061242275,1,228
36.875_-96.375|layer1|5-5,36.875_-96.375,layer1,5-5,0.9352341203985136,0.9352341203985136,1,55
36.875_-97.125|layer1|5-5,36.875_-97.125,layer1,5-5,0.8365151337302303,0.8365151337302303,2,24
36.875_-97.875|layer1|5-5,36.875_-97.875,layer1,5-5,0.954851841831631,0.954851841831631,2,32
36.875_-98.375|layer1|5-5,36.875_-98.375,layer1,5-5,0.943158717320617,0.943158717320617,1,120
37.125_-105.125|layer1|5-5,37.125_-105.125,layer1,5-5,0.4307390200100632,0.4307390200100632,1,47
37.125_-105.875|layer1|5-5,37.125_-105.875,layer1,5-5,0.8434452780191197,0.8508763043576443,4,20
37.125_-95.875|layer1|5-5,37.125_-95.875,layer1,5-5,0.8855714071646221,0.8855714071646221,1,42
37.125_-97.375|layer1|5-5,37.125_-97.375,layer1,5-5,0.9636316039934334,0.9636316039934334,1,233
37.125_-97.875|layer1|5-5,37.125_-97.875,layer1,5-5,0.919359829702264,0.919359829702264,2,44
37.125_-98.125|layer1|5-5,37.125_-98.125,layer1,5-5,0.9337283724744974,0.9337283724744974,2,6
37.125_127.625|layer1|10-10,37.125_127.625,layer1,10-10,0.7757304878295803,0.7757304878295803,1,6
37.375_-106.875|layer1|5-5,37.375_-106.875,layer1,5-5,0.7017789873082391,0.7017789873082391,1,6
37.375_-112.625|layer1|5-5,37.375_-112.625,layer1,5-5,0.6794480263550092,0.6794480263550092,2,514
37.375_-113.875|layer1|5-5,37.375_-113.875,layer1,5-5,0.7742621140394095,0.7742621140394095,2,798
37.375_-96.125|layer1|5-5,37.375_-96.125,layer1,5-5,0.9621404044247136,0.9621404044247136,1,12
37.375_-99.375|layer1|5-5,37.375_-99.375,layer1,5-5,0.9810426527842396,0.9810426527842396,1,7
37.625_-112.625|layer1|5-5,37.625_-112.625,layer1,5-5,0.6050414558094575,0.6050414558094575,2,381
37.625_-112.875|layer1|5-5,37.625_-112.875,layer1,5-5,0.6402391088607924,0.6466764210023397,5,153
37.875_-109.375|layer1|5-5,37.875_-109.375,layer1,5-5,0.7933367047707213,0.7933367047707213,1,126
37.875_-111.875|layer1|5-5,37.875_-111.875,layer1,5-5,0.883330093741054,0.883330093741054,1,46
37.875_-97.125|layer1|5-5,37.875_-97.125,layer1,5-5,0.8797213577250905,0.8797213577250905,1,127
37.875_-98.375|layer1|5-5,37.875_-98.375,layer1,5-5,0.8803717133993517,0.8803717133993517,1,15
38.125_-111.375|layer1|5-5,38.125_-111.375,layer1,5-5,0.5701983624941239,0.5701983624941239,1,416
38.125_-119.125|layer1|5-5,38.125_-119.125,layer1,5-5,0.4399890924649559,0.4399890924649559,1,14
38.125_-120.875|layer1|5-5,38.125_-120.875,layer1,5-5,0.9743266377849732,0.96985424244248,7,176
38.125_-95.625|layer1|5-5,38.125_-95.625,layer1,5-5,0.9144223422660236,0.9144223422660236,1,54
38.125_-97.625|layer1|5-5,38.125_-97.625,layer1,5-5,0.9313008953656066,0.9313008953656066,1,14
38.125_-99.375|layer1|5-5,38.125_-99.375,layer1,5-5,0.958916395743858,0.958916395743858,1,18
38.375_-109.375|layer1|5-5,38.375_-109.375,layer1,5-5,0.8416754283530218,0.8416754283530218,2,208
38.375_-112.375|layer1|5-5,38.375_-112.375,layer1,5-5,0.4735981613191431,0.5094258644013598,5,415
38.375_-119.375|layer1|5-5,38.375_-119.375,layer1,5-5,0.8530372650693919,0.8530372650693919,1,28
38.375_-119.625|layer1|5-5,38.375_-119.625,layer1,5-5,0.7089314487379955,0.7059616092828973,4,137
38.375_-120.875|layer1|5-5,38.375_-120.875,layer1,5-5,0.9598248348882028,0.9600784886696522,5,83
38.375_-97.375|layer1|5-5,38.375_-97.375,layer1,5-5,0.9267270821191576,0.9267270821191576,1,4
38.625_-119.625|layer1|5-5,38.625_-119.625,layer1,5-5,0.4703430841664953,0.4703430841664953,2,143
38.625_-119.875|layer1|5-5,38.625_-119.875,layer1,5-5,0.7459485845173488,0.6782404224225609,5,280
38.625_-92.125|layer1|5-5,38.625_-92.125,layer1,5-5,0.8572798419360512,0.8572798419360512,2,272
38.625_102.875|layer1|5-5,38.625_102.875,layer1,5-5,0.6657126034945732,0.629026167868612,3,4
38.875_-106.625|layer1|5-5,38.875_-106.625,layer1,5-5,0.544042291260229,0.544042291260229,2,28
38.875_-111.625|layer1|5-5,38.875_-111.625,layer1,5-5,0.6078047465819977,0.6786268215928493,3,70
38.875_-112.125|layer1|5-5,38.875_-112.125,layer1,5-5,0.7866176726983514,0.7866176726983514,1,68
38.875_-119.875|layer1|5-5,38.875_-119.875,layer1,5-5,0.3117498817107668,0.3117498817107668,1,158
38.875_-120.125|layer1|5-5,38.875_-120.125,layer1,5-5,0.7801406658364602,0.7225408855302922,4,278
39.125_-106.875|layer1|5-5,39.125_-106.875,layer1,5-5,0.7805704903134414,0.751824005306249,5,140
39.125_-111.375|layer1|5-5,39.125_-111.375,layer1,5-5,0.7709604671822889,0.7234126801497777,3,359
39.125_-111.625|layer1|5-5,39.125_-111.625,layer1,5-5,0.6339749495182257,0.6220464823191205,4,165
39.125_-120.125|layer1|5-5,39.125_-120.125,layer1,5-5,0.8227421892929576,0.8227421892929576,1,35
39.125_-123.125|layer1|5-5,39.125_-123.125,layer1,5-5,0.9565429815811848,0.9565429815811848,1,34
39.375_-106.125|layer1|5-5,39.375_-106.125,layer1,5-5,0.5114418900652001,0.5755693614986741,6,519
39.375_-111.375|layer1|5-5,39.375_-111.375,layer1,5-5,0.7508225335845178,0.781080255181847,6,294
39.375_-111.625|layer1|5-5,39.375_-111.625,layer1,5-5,0.5584713199215169,0.5584713199215169,1,579
39.375_-114.625|layer1|5-5,39.375_-114.625,layer1,5-5,0.61965193158451,0.61965193158451,1,1
39.375_-119.875|layer1|5-5,39.375_-119.875,layer1,5-5,0.7607185371684786,0.7607185371684786,1,156
39.375_-120.375|layer1|5-5,39.375_-120.375,layer1,5-5,0.6187260763800364,0.6187260763800364,2,17
39.375_-123.125|layer1|5-5,39.375_-123.125,layer1,5-5,0.9212813985741758,0.9212813985741758,1,30
39.625_-1.375|layer1|0-5,39.625_-1.375,layer1,0-5,0.5616328178094038,0.5616328178094038,1,113
39.625_-105.875|layer1|5-5,39.625_-105.875,layer1,5-5,0.6009855059472602,0.6009855059472602,1,185
39.625_-110.375|layer1|5-5,39.625_-110.375,layer1,5-5,0.8681814070637289,0.8681814070637289,2,101
39.625_-111.375|layer1|5-5,39.625_-111.375,layer1,5-5,0.8612846906568802,0.8965719903588093,3,261
39.875_-105.875|layer1|5-5,39.875_-105.875,layer1,5-5,0.6575498220777839,0.6575498220777839,1,597
39.875_-111.375|layer1|5-5,39.875_-111.375,layer1,5-5,0.855927388042072,0.8501521805987826,3,550
39.875_-111.625|layer1|5-5,39.875_-111.625,layer1,5-5,0.8241337224206863,0.8241337224206863,2,48
40.125_-105.625|layer1|5-5,40.125_-105.625,layer1,5-5,0.7301789509516856,0.7301789509516856,2,1081
40.125_-105.875|layer1|5-5,40.125_-105.875,layer1,5-5,0.3709244995564447,0.3709244995564447,1,64
40.375_-111.125|layer1|5-5,40.375_-111.125,layer1,5-5,0.8237843830851901,0.8237843830851901,1,23
40.375_-111.625|layer1|5-5,40.375_-111.625,layer1,5-5,0.8355163689453626,0.8355163689453626,1,51
40.375_-115.625|layer1|5-5,40.375_-115.625,layer1,5-5,0.7685782471757888,0.7685782471757888,1,5
40.625_-109.625|layer1|5-5,40.625_-109.625,layer1,5-5,0.7996522297210583,0.7996522297210583,1,284
40.625_-110.375|layer1|5-5,40.625_-110.375,layer1,5-5,0.482426572316896,0.482426572316896,2,37
40.625_-110.625|layer1|5-5,40.625_-110.625,layer1,5-5,0.6255293521240688,0.5888952692153896,4,27
40.625_-111.125|layer1|5-5,40.625_-111.125,layer1,5-5,0.8787964596951428,0.8787964596951428,2,5
40.625_-111.625|layer1|5-5,40.625_-111.625,layer1,5-5,0.8570216647888691,0.8328016660717913,8,283
40.625_-115.375|layer1|5-5,40.625_-115.375,layer1,5-5,0.7659963255734329,0.7659963255734329,1,29
40.625_-120.625|layer1|5-5,40.625_-120.625,layer1,5-5,0.408097868245045,0.408097868245045,1,125
40.875_-104.625|layer1|5-5,40.875_-104.625,layer1,5-5,0.854035595566085,0.854035595566085,2,1948
40.875_-106.625|layer1|5-5,40.875_-106.625,layer1,5-5,0.864998851556819,0.864998851556819,2,672
40.875_-110.125|layer1|5-5,40.875_-110.125,layer1,5-5,0.606126898972194,0.6215299187485903,4,339
40.875_-110.625|layer1|5-5,40.875_-110.625,layer1,5-5,0.5326366049694283,0.5174715208968695,3,63
40.875_-110.875|layer1|5-5,40.875_-110.875,layer1,5-5,0.7227261980972731,0.7763897417392076,5,55
40.875_-111.125|layer1|5-5,40.875_-111.125,layer1,5-5,0.7302117195089283,0.7550360040573784,3,300
40.875_-111.625|layer1|5-5,40.875_-111.625,layer1,5-5,0.7769340039888454,0.7394234348596264,5,695
40.875_-111.875|layer1|5-5,40.875_-111.875,layer1,5-5,0.867734083395185,0.8351539042115818,6,216
40.875_-115.125|layer1|5-5,40.875_-115.125,layer1,5-5,0.778779556171808,0.7173654414000508,3,61
40.875_25.875|layer1|0-10,40.875_25.875,layer1,0-10,0.9674661754916778,0.967972506294577,6,63
41.125_-111.375|layer1|5-5,41.125_-111.375,layer1,5-5,0.769450442546688,0.769450442546688,1,32
41.125_-5.375|layer1|0-5,41.125_-5.375,layer1,0-5,0.7814103276486795,0.7425822428362555,3,189
41.375_-111.375|layer1|5-5,41.375_-111.375,layer1,5-5,0.8288797877231259,0.8365362523668416,5,370
41.375_-111.875|layer1|5-5,41.375_-111.875,layer1,5-5,0.9032308974838026,0.9032308974838026,1,5
41.375_-5.125|layer1|0-5,41.375_-5.125,layer1,0-5,0.719591888348194,0.719591888348194,2,104
41.375_-5.375|layer1|0-5,41.375_-5.375,layer1,0-5,0.7631192820159827,0.7573123955142766,3,47
41.375_-5.625|layer1|0-5,41.375_-5.625,layer1,0-5,0.6963159885186129,0.6963159885186129,1,46
41.375_-71.625|layer1|5-5,41.375_-71.625,layer1,5-5,0.9007769698475832,0.9007769698475832,1,198
41.625_-115.375|layer1|5-5,41.625_-115.375,layer1,5-5,0.5745769640659951,0.5745769640659951,1,52
41.625_-116.125|layer1|5-5,41.625_-116.125,layer1,5-5,0.8585190307676399,0.8585190307676399,1,93
41.625_-117.625|layer1|5-5,41.625_-117.625,layer1,5-5,0.4998761292906767,0.4998761292906767,1,476
41.875_-111.625|layer1|5-5,41.875_-111.625,layer1,5-5,0.7525834153684426,0.7596547455914471,4,37
41.875_-115.125|layer1|5-5,41.875_-115.125,layer1,5-5,0.7218374238761341,0.7218374238761341,1,892
41.875_-116.125|layer1|5-5,41.875_-116.125,layer1,5-5,0.6508297395485566,0.6508297395485566,1,50
41.875_1.625|layer1|5-5,41.875_1.625,layer1,5-5,0.8390662707281423,0.8390662707281423,1,2
41.875_115.625|layer1|5-5,41.875_115.625,layer1,5-5,0.8874839281910304,0.8821756854543783,4,6
41.875_116.375|layer1|5-5,41.875_116.375,layer1,5-5,0.7823868339080592,0.7823868339080592,1,3
42.125_0.875|layer1|5-5,42.125_0.875,layer1,5-5,0.7975673600992121,0.7975673600992121,2,8
42.125_1.125|layer1|5-5,42.125_1.125,layer1,5-5,0.8256660640299932,0.8256660640299932,1,2
42.125_115.875|layer1|5-5,42.125_115.875,layer1,5-5,0.8475953585578702,0.8475953585578702,1,6
42.125_116.125|layer1|5-5,42.125_116.125,layer1,5-5,0.7627375075052685,0.7627375075052685,2,4
42.375_-83.625|layer1|10-10,42.375_-83.625,layer1,10-10,0.8851655120937358,0.8851655120937358,2,46
42.375_1.875|layer1|5-5,42.375_1.875,layer1,5-5,0.752604012883588,0.752604012883588,1,3
42.375_115.625|layer1|5-5,42.375_115.625,layer1,5-5,0.632039526150419,0.632039526150419,1,4
42.375_116.125|layer1|5-5,42.375_116.125,layer1,5-5,0.5989219026339574,0.5989219026339574,1,1
42.625_-109.375|layer1|5-5,42.625_-109.375,layer1,5-5,0.526888970682464,0.526888970682464,1,288
43.125_-70.875|layer1|5-5,43.125_-70.875,layer1,5-5,0.9087240898592668,0.9087240898592668,1,37
43.125_12.375|layer1|5-5,43.125_12.375,layer1,5-5,0.9320112772683926,0.9320112772683926,1,29
43.375_3.375|layer1|5-5,43.375_3.375,layer1,5-5,0.6306184290282574,0.6306184290282574,1,301
43.625_-113.875|layer1|5-5,43.625_-113.875,layer1,5-5,0.6611242117704045,0.6611242117704045,2,856
43.625_-96.625|layer1|5-5,43.625_-96.625,layer1,5-5,0.7471833263272579,0.7471833263272579,1,1757
43.875_-0.125|layer1|5-5,43.875_-0.125,layer1,5-5,0.9999946430524708,0.9999946430524708,1,2751
44.125_-110.625|layer1|5-5,44.125_-110.625,layer1,5-5,0.5144556819858797,0.5144556819858797,1,587
44.375_-0.875|layer1|5-5,44.375_-0.875,layer1,5-5,0.8681718340597447,0.8681718340597447,1,656
44.625_4.125|layer1|5-5,44.625_4.125,layer1,5-5,0.7066554977511545,0.7066554977511545,2,310
44.625_8.625|layer1|10-10,44.625_8.625,layer1,10-10,0.8433971957638795,0.7829362077338384,4,348
45.125_7.125|layer1|10-10,45.125_7.125,layer1,10-10,0.7632087830436289,0.7632087830436289,1,13
45.375_-74.875|layer1|5-5,45.375_-74.875,layer1,5-5,0.625557601330076,0.6917340114590085,7,55
45.375_-75.125|layer1|5-5,45.375_-75.125,layer1,5-5,0.6581486624690586,0.7323554079264593,5,78
46.875_-121.625|layer1|5-5,46.875_-121.625,layer1,5-5,0.946636721150812,0.946636721150812,1,54
47.875_-117.125|layer1|5-5,47.875_-117.125,layer1,5-5,0.7859123633684103,0.7859123633684103,1,351
47.875_20.625|layer1|0-10,47.875_20.625,layer1,0-10,0.7150117306908597,0.719640610434823,5,69
48.125_15.125|layer1|5-5,48.125_15.125,layer1,5-5,0.7418493181946526,0.7631434322981824,7,87
48.125_15.875|layer1|0-10,48.125_15.875,layer1,0-10,0.7774796816526358,0.7774796816526358,1,2
48.125_20.875|layer1|0-10,48.125_20.875,layer1,0-10,0.8150464089122138,0.7650127822661862,4,80
48.375_-105.125|layer1|5-5,48.375_-105.125,layer1,5-5,0.8146138209000777,0.8146138209000777,1,56
48.375_12.375|layer1|5-5,48.375_12.375,layer1,5-5,0.7999188286218031,0.7999188286218031,1,105
48.375_12.625|layer1|5-5,48.375_12.625,layer1,5-5,0.7963930487216114,0.8169872291349322,3,170
48.375_12.875|layer1|5-5,48.375_12.875,layer1,5-5,0.8785844078993342,0.8785844078993342,1,28
48.375_21.125|layer1|0-10,48.375_21.125,layer1,0-10,0.6622053503945757,0.6622053503945757,1,33
48.625_-120.625|layer1|5-5,48.625_-120.625,layer1,5-5,0.6867379322745099,0.6867379322745099,1,8
48.625_12.875|layer1|5-5,48.625_12.875,layer1,5-5,0.9222363831852736,0.9222363831852736,1,16
49.375_-97.875|layer1|5-5,49.375_-97.875,layer1,5-5,0.5779351690285129,0.5779351690285129,2,11
49.625_-97.875|layer1|5-5,49.625_-97.875,layer1,5-5,0.6375204638026248,0.6380167451199007,8,52
49.625_-98.125|layer1|5-5,49.625_-98.125,layer1,5-5,0.5432193374649814,0.5807988116904433,6,117
49.875_-97.375|layer1|5-5,49.875_-97.375,layer1,5-5,0.7128658784898603,0.7128658784898603,2,3
49.875_-97.875|layer1|5-5,49.875_-97.875,layer1,5-5,0.929902245346938,0.929902245346938,2,4
50.125_-5.125|layer1|10-10,50.125_-5.125,layer1,10-10,0.8261126405175222,0.8261126405175222,1,26
50.125_-97.625|layer1|5-5,50.125_-97.625,layer1,5-5,0.6576889185240862,0.6737795940064887,3,16
50.625_6.375|layer1|5-5,50.625_6.375,layer1,5-5,0.9076360145542433,0.9076360145542433,2,84
50.875_-2.625|layer1|5-5,50.875_-2.625,layer1,5-5,0.8442079054368862,0.8442079054368862,1,17
50.875_-3.875|layer1|10-10,50.875_-3.875,layer1,10-10,0.9356752668426106,0.9356752668426106,1,34
50.875_0.125|layer1|10-10,50.875_0.125,layer1,10-10,0.905019496019684,0.905019496019684,1,2
50.875_6.375|layer1|5-5,50.875_6.375,layer1,5-5,0.7750493806165561,0.7630856979942116,5,333
51.125_-0.875|layer1|10-10,51.125_-0.875,layer1,10-10,0.5811951172408589,0.5811951172408589,1,82
51.125_0.375|layer1|5-5,51.125_0.375,layer1,5-5,0.91805961032364,0.91805961032364,1,55
51.125_6.125|layer1|5-5,51.125_6.125,layer1,5-5,0.9012340011343736,0.9012340011343736,1,150
