,layer1
2001-04-11,0.35932
2001-04-12,0.35626
2001-04-13,0.35341
2001-04-14,0.35111
2001-04-15,0.34905
2001-04-16,0.35313
2001-04-17,0.37789
2001-04-18,0.3871
2001-04-19,0.39132
2001-04-20,0.38744
2001-04-21,0.38774
2001-04-22,0.37454
2001-04-23,0.37432
2001-04-24,0.38087
2001-04-25,0.38516
2001-04-26,0.38283
2001-04-27,0.3801
2001-04-28,0.37503
2001-04-29,0.36859
2001-04-30,0.35911
2001-05-01,0.35074
2001-05-02,0.34405
2001-05-03,0.33749
2001-05-04,0.33316
2001-05-05,0.33069
2001-05-06,0.32538
2001-05-07,0.31449
2001-05-08,0.3061
2001-05-09,0.29373
2001-05-10,0.28516
2001-05-11,0.27529
2001-05-12,0.26879
2001-05-13,0.26274
2001-05-14,0.26096
2001-05-15,0.254
2001-05-16,0.29082
2001-05-17,0.30374
2001-05-18,0.29048
2001-05-19,0.28386
2001-05-20,0.26792
2001-05-21,0.26311
2001-05-22,0.25454
2001-05-23,0.24682
2001-05-24,0.23946
2001-05-25,0.23453
2001-05-26,0.23013
2001-05-27,0.2283
2001-05-28,0.22644
2001-05-29,0.23087
2001-05-30,0.22208
2001-05-31,0.21172
2001-06-01,0.20767
2001-06-02,0.20536
2001-06-03,0.20901
2001-06-04,0.2121
2001-06-05,0.21085
2001-06-06,0.20833
2001-06-07,0.20365
2001-06-08,0.19739
2001-06-09,0.19596
2001-06-10,0.19081
2001-06-11,0.18477
2001-06-12,0.19525
2001-06-13,0.26479
2001-06-14,0.26663
2001-06-15,0.25913
2001-06-16,0.24366
2001-06-17,0.22787
2001-06-18,0.21673
2001-06-19,0.20675
2001-06-20,0.20052
2001-06-21,0.19557
2001-06-22,0.19092
2001-06-23,0.18599
2001-06-24,0.18911
2001-06-25,0.18511
2001-06-26,0.18247
2001-06-27,0.18645
2001-06-28,0.18361
2001-06-29,0.17916
2001-06-30,0.17737
2001-07-01,0.17598
2001-07-02,0.17508
2001-07-03,0.17298
2001-07-04,0.17069
2001-07-05,0.17558
2001-07-06,0.17981
2001-07-07,0.19895
2001-07-08,0.23946
2001-07-09,0.25495
2001-07-10,0.26318
2001-07-11,0.25605
2001-07-12,0.23993
2001-07-13,0.22728
2001-07-14,0.22267
2001-07-15,0.23438
2001-07-16,0.23319
2001-07-17,0.21851
2001-07-18,0.20246
2001-07-19,0.19989
2001-07-20,0.19132
2001-07-21,0.18479
2001-07-22,0.17778
2001-07-23,0.17459
2001-07-24,0.17163
2001-07-25,0.16818
2001-07-26,0.16731
2001-07-27,0.17489
2001-07-28,0.16972
2001-07-29,0.16985
2001-07-30,0.16558
2001-07-31,0.16792
2001-08-01,0.16473
2001-08-02,0.15886
2001-08-03,0.15979
2001-08-04,0.17027
2001-08-05,0.16676
2001-08-06,0.16075
2001-08-07,0.16248
2001-08-08,0.16142
2001-08-09,0.16283
2001-08-10,0.17271
2001-08-11,0.1673
2001-08-12,0.16751
2001-08-13,0.16715
2001-08-14,0.16978
2001-08-15,0.17135
2001-08-16,0.17837
2001-08-17,0.17173
2001-08-18,0.16369
2001-08-19,0.15674
2001-08-20,0.15551
2001-08-21,0.16776
2001-08-22,0.16893
2001-08-23,0.16029
2001-08-24,0.15908
2001-08-25,0.15687
2001-08-26,0.15568
2001-08-27,0.1576
2001-08-28,0.15876
2001-08-29,0.15691
2001-08-30,0.15699
2001-08-31,0.16526
2001-09-01,0.17019
2001-09-02,0.16498
2001-09-03,0.1611
2001-09-04,0.15953
2001-09-05,0.15925
2001-09-06,0.17844
2001-09-07,0.1989
2001-09-08,0.21184
2001-09-09,0.20303
2001-09-10,0.19364
2001-09-11,0.18324
2001-09-12,0.17918
2001-09-13,0.18297
2001-09-14,0.224
2001-09-15,0.21453
2001-09-16,0.20341
2001-09-17,0.20354
2001-09-18,0.2089
2001-09-19,0.20376
2001-09-20,0.19387
2001-09-21,0.18723
2001-09-22,0.17804
2001-09-23,0.17606
2001-09-24,0.17343
2001-09-25,0.16988
2001-09-26,0.17111
2001-09-27,0.16589
2001-09-28,0.15946
2001-09-29,0.15605
2001-09-30,0.15581
2001-10-01,0.14376
2001-10-02,0.1417
2001-10-03,0.13863
2001-10-04,0.13772
2001-10-05,0.1396
2001-10-06,0.14037
2001-10-07,0.13582
2001-10-08,0.1293
2001-10-09,0.13085
2001-10-10,0.13268
2001-10-11,0.13378
2001-10-12,0.14735
2001-10-13,0.14584
2001-10-14,0.15211
2001-10-15,0.15854
2001-10-16,0.15811
2001-10-17,0.1541
2001-10-18,0.15342
2001-10-19,0.14545
2001-10-20,0.13824
2001-10-21,0.13924
2001-10-22,0.1372
2001-10-23,0.1766
2001-10-24,0.21179
2001-10-25,0.20565
2001-10-26,0.20182
2001-10-27,0.20024
2001-10-28,0.19798
2001-10-29,0.19359
2001-10-30,0.19183
2001-10-31,0.2469
2001-11-01,0.2752
2001-11-02,0.26001
2001-11-03,0.24812
2001-11-04,0.24046
2001-11-05,0.2346
2001-11-06,0.23646
2001-11-07,0.26841
2001-11-08,0.27552
2001-11-09,0.26626
2001-11-10,0.2628
2001-11-11,0.25968
2001-11-12,0.2553
2001-11-13,0.25331
2001-11-14,0.26114
2001-11-15,0.25727
2001-11-16,0.25361
2001-11-17,0.25
2001-11-18,0.24826
2001-11-19,0.24922
2001-11-20,0.24871
2001-11-21,0.24909
2001-11-22,0.26733
2001-11-23,0.28587
2001-11-24,0.27786
2001-11-25,0.27435
2001-11-26,0.27193
2001-11-27,0.26902
2001-11-28,0.26711
2001-11-29,0.26544
2001-11-30,0.26358
2001-12-01,0.26195
2001-12-02,0.26037
2001-12-03,0.25949
2001-12-04,0.25861
2001-12-05,0.25721
2001-12-06,0.25634
2001-12-07,0.25727
2001-12-08,0.25666
2001-12-09,0.255
2001-12-10,0.25426
2001-12-11,0.25347
2001-12-12,0.25243
2001-12-13,0.25072
2001-12-14,0.24976
2001-12-15,0.24946
2001-12-16,0.24635
2001-12-17,0.24487
2001-12-18,0.24338
2001-12-19,0.24275
2001-12-20,0.24253
2001-12-21,0.2425
2001-12-22,0.2424
2001-12-23,0.24294
2001-12-24,0.24347
2001-12-25,0.24463
2001-12-26,0.24503
2001-12-27,0.2454
2001-12-28,0.24548
2001-12-29,0.24508
2001-12-30,0.24481
2001-12-31,0.24503
2002-01-01,0.24619
2002-01-02,0.24604
2002-01-03,0.24651
2002-01-04,0.24652
2002-01-05,0.24619
2002-01-06,0.24622
2002-01-07,0.24663
2002-01-08,0.24654
2002-01-09,0.2464
2002-01-10,0.24507
2002-01-11,0.24512
2002-01-12,0.24493
2002-01-13,0.24481
2002-01-14,0.24483
2002-01-15,0.24438
2002-01-16,0.24453
2002-01-17,0.2422
2002-01-18,0.24157
2002-01-19,0.24148
2002-01-20,0.24149
2002-01-21,0.24099
2002-01-22,0.24111
2002-01-23,0.24087
2002-01-24,0.24084
2002-01-25,0.24154
2002-01-26,0.24018
2002-01-27,0.23938
2002-01-28,0.23935
2002-01-29,0.23993
2002-01-30,0.23975
2002-01-31,0.24029
2002-02-01,0.24069
2002-02-02,0.24107
2002-02-03,0.2411
2002-02-04,0.24111
2002-02-05,0.24411
2002-02-06,0.24486
2002-02-07,0.24454
2002-02-08,0.24355
2002-02-09,0.24301
2002-02-10,0.24273
2002-02-11,0.24234
2002-02-12,0.24199
2002-02-13,0.24278
2002-02-14,0.24306
2002-02-15,0.24277
2002-02-16,0.2424
2002-02-17,0.24222
2002-02-18,0.24202
2002-02-19,0.2431
2002-02-20,0.24467
2002-02-21,0.25016
2002-02-22,0.24998
2002-02-23,0.25064
2002-02-24,0.25416
2002-02-25,0.25291
2002-02-26,0.25079
2002-02-27,0.24991
2002-02-28,0.2491
2002-03-01,0.24801
2002-03-02,0.247
2002-03-03,0.24659
2002-03-04,0.24634
2002-03-05,0.246
2002-03-06,0.24851
2002-03-07,0.25691
2002-03-08,0.2581
2002-03-09,0.255
2002-03-10,0.25318
2002-03-11,0.25295
2002-03-12,0.25623
2002-03-13,0.25842
2002-03-14,0.25706
2002-03-15,0.25473
2002-03-16,0.25286
2002-03-17,0.25152
2002-03-18,0.25043
2002-03-19,0.24923
2002-03-20,0.24778
2002-03-21,0.25143
2002-03-22,0.25419
2002-03-23,0.26933
2002-03-24,0.29063
2002-03-25,0.28637
2002-03-26,0.28376
2002-03-27,0.2824
2002-03-28,0.27973
2002-03-29,0.27697
2002-03-30,0.27539
2002-03-31,0.29121
2002-04-01,0.32562
2002-04-02,0.34111
2002-04-03,0.33532
2002-04-04,0.34068
2002-04-05,0.35852
2002-04-06,0.3736
2002-04-07,0.37917
2002-04-08,0.37629
2002-04-09,0.37436
2002-04-10,0.39062
2002-04-11,0.38758
2002-04-12,0.38323
2002-04-13,0.38304
2002-04-14,0.38246
2002-04-15,0.38665
2002-04-16,0.3813
2002-04-17,0.36735
2002-04-18,0.36401
2002-04-19,0.36267
2002-04-20,0.35907
2002-04-21,0.35765
2002-04-22,0.36133
2002-04-23,0.38221
2002-04-24,0.38753
2002-04-25,0.3743
2002-04-26,0.38635
2002-04-27,0.39976
2002-04-28,0.39969
2002-04-29,0.39888
2002-04-30,0.39735
2002-05-01,0.39469
2002-05-02,0.39387
2002-05-03,0.39214
2002-05-04,0.3906
2002-05-05,0.38295
2002-05-06,0.37506
2002-05-07,0.36701
2002-05-08,0.36494
2002-05-09,0.35259
2002-05-10,0.34572
2002-05-11,0.36885
2002-05-12,0.38565
2002-05-13,0.37914
2002-05-14,0.36733
2002-05-15,0.35447
2002-05-16,0.34261
2002-05-17,0.33248
2002-05-18,0.31996
2002-05-19,0.30626
2002-05-20,0.29286
2002-05-21,0.31708
2002-05-22,0.36006
2002-05-23,0.37157
2002-05-24,0.36665
2002-05-25,0.3619
2002-05-26,0.35129
2002-05-27,0.33637
2002-05-28,0.32264
2002-05-29,0.30878
2002-05-30,0.29408
2002-05-31,0.27828
2002-06-01,0.26868
2002-06-02,0.27303
2002-06-03,0.28342
2002-06-04,0.27891
2002-06-05,0.27196
2002-06-06,0.25912
2002-06-07,0.25083
2002-06-08,0.24368
2002-06-09,0.26229
2002-06-10,0.27923
2002-06-11,0.28137
2002-06-12,0.27343
2002-06-13,0.26324
2002-06-14,0.25159
2002-06-15,0.24078
2002-06-16,0.23097
2002-06-17,0.22397
2002-06-18,0.21776
2002-06-19,0.21745
2002-06-20,0.21584
2002-06-21,0.21279
2002-06-22,0.21132
2002-06-23,0.20989
2002-06-24,0.20304
2002-06-25,0.19901
2002-06-26,0.19765
2002-06-27,0.19547
2002-06-28,0.19088
2002-06-29,0.18236
2002-06-30,0.17803
2002-07-01,0.17388
2002-07-02,0.17013
2002-07-03,0.1699
2002-07-04,0.17233
2002-07-05,0.17021
2002-07-06,0.1742
2002-07-07,0.1731
2002-07-08,0.16846
2002-07-09,0.1698
2002-07-10,0.17081
2002-07-11,0.17301
2002-07-12,0.1742
2002-07-13,0.17274
2002-07-14,0.17062
2002-07-15,0.17233
2002-07-16,0.18199
2002-07-17,0.18878
2002-07-18,0.19017
2002-07-19,0.21784
2002-07-20,0.21629
2002-07-21,0.21004
2002-07-22,0.20329
2002-07-23,0.20491
2002-07-24,0.21
2002-07-25,0.23117
2002-07-26,0.24533
2002-07-27,0.23017
2002-07-28,0.22529
2002-07-29,0.20846
2002-07-30,0.19916
2002-07-31,0.19191
2002-08-01,0.1874
2002-08-02,0.18526
2002-08-03,0.18833
2002-08-04,0.19223
2002-08-05,0.18684
2002-08-06,0.18248
2002-08-07,0.18042
2002-08-08,0.17892
2002-08-09,0.17647
2002-08-10,0.17374
2002-08-11,0.17217
2002-08-12,0.16923
2002-08-13,0.16832
2002-08-14,0.15908
2002-08-15,0.15672
2002-08-16,0.15417
2002-08-17,0.15551
2002-08-18,0.15594
2002-08-19,0.15875
2002-08-20,0.16506
2002-08-21,0.16971
2002-08-22,0.17604
2002-08-23,0.17299
2002-08-24,0.17911
2002-08-25,0.17541
2002-08-26,0.17388
2002-08-27,0.17349
2002-08-28,0.17909
2002-08-29,0.19265
2002-08-30,0.19087
2002-08-31,0.18982
2002-09-01,0.18364
2002-09-02,0.17647
2002-09-03,0.1738
2002-09-04,0.16994
2002-09-05,0.16663
2002-09-06,0.17803
2002-09-07,0.24456
2002-09-08,0.31902
2002-09-09,0.31166
2002-09-10,0.28718
2002-09-11,0.27242
2002-09-12,0.28469
2002-09-13,0.27203
2002-09-14,0.26111
2002-09-15,0.24889
2002-09-16,0.24226
2002-09-17,0.26952
2002-09-18,0.33805
2002-09-19,0.32079
2002-09-20,0.30233
2002-09-21,0.28879
2002-09-22,0.27687
2002-09-23,0.26822
2002-09-24,0.26027
2002-09-25,0.25288
2002-09-26,0.24954
2002-09-27,0.24301
2002-09-28,0.24182
2002-09-29,0.24579
2002-09-30,0.28241
2002-10-01,0.28109
2002-10-02,0.32069
2002-10-03,0.33046
2002-10-04,0.33578
2002-10-05,0.34553
2002-10-06,0.3459
2002-10-07,0.33645
2002-10-08,0.32541
2002-10-09,0.31417
2002-10-10,0.30122
2002-10-11,0.29398
2002-10-12,0.28913
2002-10-13,0.28155
2002-10-14,0.27295
2002-10-15,0.26584
2002-10-16,0.25843
2002-10-17,0.25252
2002-10-18,0.24654
2002-10-19,0.24186
2002-10-20,0.23823
2002-10-21,0.23419
2002-10-22,0.23538
2002-10-23,0.24904
2002-10-24,0.25637
2002-10-25,0.26919
2002-10-26,0.27175
2002-10-27,0.26994
2002-10-28,0.26776
2002-10-29,0.27438
2002-10-30,0.27122
2002-10-31,0.26936
2002-11-01,0.26892
2002-11-02,0.26892
2002-11-03,0.26826
2002-11-04,0.26785
2002-11-05,0.26715
2002-11-06,0.26817
2002-11-07,0.27542
2002-11-08,0.28277
2002-11-09,0.33852
2002-11-10,0.32784
2002-11-11,0.319
2002-11-12,0.31272
2002-11-13,0.30883
2002-11-14,0.30839
2002-11-15,0.31013
2002-11-16,0.30643
2002-11-17,0.30352
2002-11-18,0.30504
2002-11-19,0.30279
2002-11-20,0.30197
2002-11-21,0.30838
2002-11-22,0.32112
2002-11-23,0.32714
2002-11-24,0.33254
2002-11-25,0.32564
2002-11-26,0.32004
2002-11-27,0.31752
2002-11-28,0.31586
2002-11-29,0.3148
2002-11-30,0.31433
2002-12-01,0.3144
2002-12-02,0.31229
2002-12-03,0.31121
2002-12-04,0.30884
2002-12-05,0.30468
2002-12-06,0.30387
2002-12-07,0.30347
2002-12-08,0.30313
2002-12-09,0.30267
2002-12-10,0.3024
2002-12-11,0.30207
2002-12-12,0.30162
2002-12-13,0.29974
2002-12-14,0.29774
2002-12-15,0.29895
2002-12-16,0.29858
2002-12-17,0.29829
2002-12-18,0.2992
2002-12-19,0.29819
2002-12-20,0.29677
2002-12-21,0.29539
2002-12-22,0.29472
2002-12-23,0.29415
2002-12-24,0.2943
2002-12-25,0.2941
2002-12-26,0.29438
2002-12-27,0.29319
2002-12-28,0.29129
2002-12-29,0.29044
2002-12-30,0.28991
2002-12-31,0.28912
2003-01-01,0.28816
2003-01-02,0.28768
2003-01-03,0.28637
2003-01-04,0.28462
2003-01-05,0.28468
2003-01-06,0.28494
2003-01-07,0.28402
2003-01-08,0.28275
2003-01-09,0.28254
2003-01-10,0.28255
2003-01-11,0.28342
2003-01-12,0.28372
2003-01-13,0.28571
2003-01-14,0.28752
2003-01-15,0.28832
2003-01-16,0.28727
2003-01-17,0.28676
2003-01-18,0.28605
2003-01-19,0.28635
2003-01-20,0.28766
2003-01-21,0.28969
2003-01-22,0.29184
2003-01-23,0.29597
2003-01-24,0.30069
2003-01-25,0.30024
2003-01-26,0.30238
2003-01-27,0.30955
2003-01-28,0.33049
2003-01-29,0.32657
2003-01-30,0.32157
2003-01-31,0.33707
2003-02-01,0.3603
2003-02-02,0.36672
2003-02-03,0.35331
2003-02-04,0.34644
2003-02-05,0.34032
2003-02-06,0.3364
2003-02-07,0.33426
2003-02-08,0.33215
2003-02-09,0.32988
2003-02-10,0.32779
2003-02-11,0.32605
2003-02-12,0.32587
2003-02-13,0.32661
2003-02-14,0.33226
2003-02-15,0.33862
2003-02-16,0.33597
2003-02-17,0.33493
2003-02-18,0.33069
2003-02-19,0.32765
2003-02-20,0.3248
2003-02-21,0.32224
2003-02-22,0.32151
2003-02-23,0.31821
2003-02-24,0.31567
2003-02-25,0.31401
2003-02-26,0.31286
2003-02-27,0.31181
2003-02-28,0.31048
2003-03-01,0.31002
2003-03-02,0.30786
2003-03-03,0.30529
2003-03-04,0.3045
2003-03-05,0.3032
2003-03-06,0.30112
2003-03-07,0.30259
2003-03-08,0.30519
2003-03-09,0.30427
2003-03-10,0.30236
2003-03-11,0.30191
2003-03-12,0.31941
2003-03-13,0.33742
2003-03-14,0.35289
2003-03-15,0.35809
2003-03-16,0.36872
2003-03-17,0.36314
2003-03-18,0.35366
2003-03-19,0.34748
2003-03-20,0.34372
2003-03-21,0.34212
2003-03-22,0.34033
2003-03-23,0.35159
2003-03-24,0.35243
2003-03-25,0.34285
2003-03-26,0.34651
2003-03-27,0.35508
2003-03-28,0.34675
2003-03-29,0.34084
2003-03-30,0.33587
2003-03-31,0.33606
2003-04-01,0.36477
2003-04-02,0.37139
2003-04-03,0.36967
2003-04-04,0.35876
2003-04-05,0.35325
2003-04-06,0.34924
2003-04-07,0.34737
2003-04-08,0.34295
2003-04-09,0.33611
2003-04-10,0.35354
2003-04-11,0.36812
2003-04-12,0.37534
2003-04-13,0.37419
2003-04-14,0.37379
2003-04-15,0.36972
2003-04-16,0.35917
2003-04-17,0.3542
2003-04-18,0.36162
2003-04-19,0.35767
2003-04-20,0.36422
2003-04-21,0.36725
2003-04-22,0.37518
2003-04-23,0.3736
2003-04-24,0.37934
2003-04-25,0.37711
2003-04-26,0.37623
2003-04-27,0.37069
2003-04-28,0.37602
2003-04-29,0.37831
2003-04-30,0.37935
2003-05-01,0.37278
2003-05-02,0.36951
2003-05-03,0.36946
2003-05-04,0.37777
2003-05-05,0.38261
2003-05-06,0.37188
2003-05-07,0.37173
2003-05-08,0.37688
2003-05-09,0.38327
2003-05-10,0.39077
2003-05-11,0.39237
2003-05-12,0.38874
2003-05-13,0.38255
2003-05-14,0.37184
2003-05-15,0.35781
2003-05-16,0.35023
2003-05-17,0.33602
2003-05-18,0.32872
2003-05-19,0.31915
2003-05-20,0.30966
2003-05-21,0.29874
2003-05-22,0.288
2003-05-23,0.27903
2003-05-24,0.27168
2003-05-25,0.26733
2003-05-26,0.25962
2003-05-27,0.25196
2003-05-28,0.24607
2003-05-29,0.23874
2003-05-30,0.23074
2003-05-31,0.23254
2003-06-01,0.22987
2003-06-02,0.22629
2003-06-03,0.2185
2003-06-04,0.21077
2003-06-05,0.21034
2003-06-06,0.20737
2003-06-07,0.20596
2003-06-08,0.2023
2003-06-09,0.20059
2003-06-10,0.20887
2003-06-11,0.20978
2003-06-12,0.20457
2003-06-13,0.20482
2003-06-14,0.20121
2003-06-15,0.19483
2003-06-16,0.19214
2003-06-17,0.19796
2003-06-18,0.20584
2003-06-19,0.20604
2003-06-20,0.2076
2003-06-21,0.22624
2003-06-22,0.23772
2003-06-23,0.23765
2003-06-24,0.25169
2003-06-25,0.29761
2003-06-26,0.27767
2003-06-27,0.25518
2003-06-28,0.23913
2003-06-29,0.22747
2003-06-30,0.21573
2003-07-01,0.20479
2003-07-02,0.19678
2003-07-03,0.19139
2003-07-04,0.1884
2003-07-05,0.18322
2003-07-06,0.17634
2003-07-07,0.174
2003-07-08,0.17299
2003-07-09,0.17136
2003-07-10,0.17107
2003-07-11,0.16979
2003-07-12,0.16824
2003-07-13,0.16313
2003-07-14,0.16139
2003-07-15,0.16274
2003-07-16,0.16165
2003-07-17,0.15825
2003-07-18,0.16096
2003-07-19,0.16708
2003-07-20,0.17699
2003-07-21,0.17446
2003-07-22,0.17196
2003-07-23,0.16895
2003-07-24,0.17177
2003-07-25,0.1854
2003-07-26,0.18564
2003-07-27,0.18244
2003-07-28,0.1751
2003-07-29,0.16798
2003-07-30,0.16414
2003-07-31,0.15865
2003-08-01,0.15658
2003-08-02,0.15728
2003-08-03,0.19037
2003-08-04,0.23058
2003-08-05,0.21443
2003-08-06,0.19993
2003-08-07,0.18917
2003-08-08,0.18019
2003-08-09,0.17683
2003-08-10,0.16898
2003-08-11,0.16244
2003-08-12,0.15567
2003-08-13,0.15124
2003-08-14,0.14626
2003-08-15,0.15317
2003-08-16,0.15942
2003-08-17,0.17529
2003-08-18,0.17047
2003-08-19,0.16499
2003-08-20,0.16293
2003-08-21,0.16193
2003-08-22,0.17211
2003-08-23,0.17347
2003-08-24,0.16963
2003-08-25,0.16756
2003-08-26,0.16216
2003-08-27,0.1629
2003-08-28,0.16032
2003-08-29,0.16049
2003-08-30,0.17549
2003-08-31,0.17751
2003-09-01,0.17176
2003-09-02,0.16898
2003-09-03,0.1755
2003-09-04,0.17006
2003-09-05,0.16796
2003-09-06,0.17029
2003-09-07,0.20561
2003-09-08,0.20156
2003-09-09,0.21618
2003-09-10,0.2315
2003-09-11,0.23885
2003-09-12,0.2254
2003-09-13,0.21579
2003-09-14,0.20666
2003-09-15,0.19692
2003-09-16,0.19006
2003-09-17,0.19136
2003-09-18,0.2114
2003-09-19,0.2112
2003-09-20,0.2049
2003-09-21,0.19754
2003-09-22,0.19062
2003-09-23,0.18089
2003-09-24,0.1691
2003-09-25,0.16453
2003-09-26,0.15818
2003-09-27,0.15766
2003-09-28,0.15683
2003-09-29,0.15406
2003-09-30,0.15347
2003-10-01,0.16249
2003-10-02,0.16274
2003-10-03,0.17321
2003-10-04,0.17101
2003-10-05,0.16744
2003-10-06,0.16611
2003-10-07,0.16845
2003-10-08,0.16784
2003-10-09,0.16466
2003-10-10,0.1623
2003-10-11,0.16578
2003-10-12,0.1616
2003-10-13,0.15857
2003-10-14,0.15857
2003-10-15,0.15814
2003-10-16,0.15916
2003-10-17,0.1565
2003-10-18,0.1546
2003-10-19,0.1518
2003-10-20,0.15076
2003-10-21,0.15004
2003-10-22,0.14803
2003-10-23,0.14611
2003-10-24,0.14324
2003-10-25,0.14171
2003-10-26,0.1411
2003-10-27,0.13872
2003-10-28,0.1383
2003-10-29,0.14261
2003-10-30,0.17509
2003-10-31,0.17562
2003-11-01,0.17614
2003-11-02,0.17763
2003-11-03,0.17845
2003-11-04,0.17926
2003-11-05,0.17948
2003-11-06,0.18085
2003-11-07,0.18042
2003-11-08,0.17881
2003-11-09,0.18137
2003-11-10,0.19224
2003-11-11,0.1961
2003-11-12,0.19788
2003-11-13,0.19831
2003-11-14,0.201
2003-11-15,0.20229
2003-11-16,0.20266
2003-11-17,0.20421
2003-11-18,0.20341
2003-11-19,0.20387
2003-11-20,0.20403
2003-11-21,0.20341
2003-11-22,0.20163
2003-11-23,0.20058
2003-11-24,0.20004
2003-11-25,0.19977
2003-11-26,0.19948
2003-11-27,0.19752
2003-11-28,0.19507
2003-11-29,0.19468
2003-11-30,0.19785
2003-12-01,0.20635
2003-12-02,0.2107
2003-12-03,0.21037
2003-12-04,0.21024
2003-12-05,0.2104
2003-12-06,0.2098
2003-12-07,0.21426
2003-12-08,0.21728
2003-12-09,0.21406
2003-12-10,0.21265
2003-12-11,0.21141
2003-12-12,0.20754
2003-12-13,0.20643
2003-12-14,0.20773
2003-12-15,0.20806
2003-12-16,0.20662
2003-12-17,0.20513
2003-12-18,0.20418
2003-12-19,0.20457
2003-12-20,0.20449
2003-12-21,0.20488
2003-12-22,0.20462
2003-12-23,0.20532
2003-12-24,0.20547
2003-12-25,0.20533
2003-12-26,0.20643
2003-12-27,0.20657
2003-12-28,0.20656
2003-12-29,0.20649
2003-12-30,0.20649
2003-12-31,0.20565
2004-01-01,0.20548
2004-01-02,0.2056
2004-01-03,0.2056
2004-01-04,0.20721
2004-01-05,0.20674
2004-01-06,0.2067
2004-01-07,0.20649
2004-01-08,0.20673
2004-01-09,0.20672
2004-01-10,0.20754
2004-01-11,0.20663
2004-01-12,0.20772
2004-01-13,0.20748
2004-01-14,0.20711
2004-01-15,0.20708
2004-01-16,0.20757
2004-01-17,0.20734
2004-01-18,0.20609
2004-01-19,0.2059
2004-01-20,0.20562
2004-01-21,0.20621
2004-01-22,0.2061
2004-01-23,0.20559
2004-01-24,0.2054
2004-01-25,0.2055
2004-01-26,0.20568
2004-01-27,0.20551
2004-01-28,0.20482
2004-01-29,0.20555
2004-01-30,0.20553
2004-01-31,0.20493
2004-02-01,0.20301
2004-02-02,0.20353
2004-02-03,0.2031
2004-02-04,0.20282
2004-02-05,0.20191
2004-02-06,0.20141
2004-02-07,0.20004
2004-02-08,0.20014
2004-02-09,0.20079
2004-02-10,0.20046
2004-02-11,0.19788
2004-02-12,0.19647
2004-02-13,0.19696
2004-02-14,0.19803
2004-02-15,0.19836
2004-02-16,0.19854
2004-02-17,0.19699
2004-02-18,0.19565
2004-02-19,0.1965
2004-02-20,0.19776
2004-02-21,0.19445
2004-02-22,0.19455
2004-02-23,0.19408
2004-02-24,0.19375
2004-02-25,0.19266
2004-02-26,0.20068
2004-02-27,0.20488
2004-02-28,0.20207
2004-02-29,0.20005
2004-03-01,0.20033
2004-03-02,0.19946
2004-03-03,0.19923
2004-03-04,0.19927
2004-03-05,0.19891
2004-03-06,0.19779
2004-03-07,0.20006
2004-03-08,0.20401
2004-03-09,0.20821
2004-03-10,0.21127
2004-03-11,0.21508
2004-03-12,0.21667
